annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
TK,20260530_234822,census,tvae,0,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:49:05.530988
TK,20260530_234822,census,tvae,0,C2,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:49:05.531020
TK,20260530_234822,census,tvae,1,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:49:20.658387
TK,20260530_234822,census,tvae,1,C2,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:49:20.658413
TK,20260530_234822,census,tvae,2,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:49:52.648205
TK,20260530_234822,census,tvae,2,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:49:52.648242
TK,20260530_234822,census,tvae,3,C1,20,SYNTHETIC,REAL,False,50,,2026-05-30T23:50:03.501158
TK,20260530_234822,census,tvae,3,C2,20,SYNTHETIC,REAL,False,50,,2026-05-30T23:50:03.501201
TK,20260530_234822,census,tvae,4,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:50:18.164868
TK,20260530_234822,census,tvae,4,C2,20,SYNTHETIC,REAL,False,50,,2026-05-30T23:50:18.164902
TK,20260530_234822,census,tvae,5,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:50:34.738402
TK,20260530_234822,census,tvae,5,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:50:34.738433
TK,20260530_234822,census,tvae,6,C1,20,REAL,REAL,True,50,,2026-05-30T23:50:43.917034
TK,20260530_234822,census,tvae,6,C2,20,REAL,REAL,True,50,,2026-05-30T23:50:43.917064
TK,20260530_234822,census,tvae,7,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:50:53.449561
TK,20260530_234822,census,tvae,7,C2,20,REAL,REAL,True,50,,2026-05-30T23:50:53.449597
TK,20260530_234822,census,tvae,8,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:51:01.036523
TK,20260530_234822,census,tvae,8,C2,20,REAL,REAL,True,50,,2026-05-30T23:51:01.036557
TK,20260530_234822,census,tvae,9,C1,20,REAL,REAL,True,50,,2026-05-30T23:51:10.125267
TK,20260530_234822,census,tvae,9,C2,20,REAL,REAL,True,50,,2026-05-30T23:51:10.125301
