trial_id,timestamp,provider,model,condition,true_label,predicted_label,correct,confidence,reasoning,red_flags,supporting_evidence,synthetic_method
0,2026-05-26T16:49:15.383995,google,gemini-2.5-flash,C1,SYNTHETIC,SYNTHETIC,True,95,"The dataset exhibits several strong statistical artifacts and implausible value patterns, particularly in categorical features that appear to be label-encoded. These patterns are highly indicative of data generated by a statistical or machine learning model, rather than collected from real-world observations.

1.  **'education' column**: The values observed (e.g., 16, 17, 18, 19, 20, 21, 22, 23) are highly suspicious. If this column represents standard education levels (e.g., as in the UCI Adult dataset, which this dataset strongly resembles), there are typically 16 distinct levels (e.g., 'Preschool' to 'Doctorate'). If these were label-encoded from 0-15 or 1-16, values like 17-23 are out of the expected range. This suggests the synthetic model generated values beyond the original categories or misinterpreted the encoding.

2.  **'occupation' column**: The integer values are large, seemingly arbitrary, and widely dispersed (e.g., 65, 507, 2184, 4321, 5442, 9019, 9623). Real-world occupation codes typically follow a structured scheme (e.g., SOC codes) or are represented by a limited set of string labels. When categorical features are label-encoded for synthetic data generation, models can sometimes generate integer labels that are numerically far apart or do not correspond to valid original categories, especially for high-cardinality features.

3.  **'place_of_birth' column**: Similar to 'occupation', this column contains a mix of small and large, seemingly arbitrary integer values (e.g., 6, 9, 20, 31, 123, 186). If this represents countries (as 'native-country' in the Adult dataset), the specific integer codes and their wide range are unusual for a simple label encoding of a limited set of countries. The value '186' is particularly high if it's an index for a typical list of countries in such a dataset.

These anomalies, especially the out-of-range 'education' values and the arbitrary, large integer codes for 'occupation' and 'place_of_birth', are common artifacts observed when generative models (like CTGAN, TVAE, etc.) are applied to datasets with label-encoded categorical features. The models learn to generate integer values but may not perfectly respect the original cardinality or semantic range of these labels.","['education values (16-23) are out of the plausible range for standard education levels or typical label encodings (e.g., 0-15 or 1-16).', 'occupation column contains large, arbitrary, and widely dispersed integer codes (e.g., 65, 507, 5442, 9019, 9623) which do not resemble standard occupation coding schemes.', ""place_of_birth column contains a mix of small and large, arbitrary integer codes (e.g., 6, 9, 186) which are suspicious for a label-encoded categorical feature like 'native-country'.""]",[],ctgan
1,2026-05-26T16:49:42.283607,google,gemini-2.5-flash,C2,SYNTHETIC,REAL,False,95,"The dataset exhibits several characteristics strongly indicative of real-world data, likely a preprocessed version of a demographic or census-type survey (e.g., Adult Census Income dataset).

1.  **Plausible Distributions and Ranges**: All numerical and encoded categorical columns (age, hours_per_week, class_of_worker, education, marital_status, relationship, sex, race, income_above_50k) have statistical summaries (mean, std, min, max, skewness, kurtosis) that are highly consistent with real-world demographic and socio-economic distributions. For instance, 'age' ranges from 17 to 90 with a mean of 42.5, and 'hours_per_week' ranges from 1 to 88 with a mean of 37.47, both of which are very realistic.
2.  **High Cardinality for Categorical Features**: The 'occupation' column has 7760 unique values and 'place_of_birth' has 495 unique values out of 32561 rows. Generating such high cardinality with realistic distributions and relationships is a significant challenge for most synthetic data models. In synthetic data, these often appear either too uniform, too few, or with suspicious patterns. The presence of many unique, seemingly arbitrary integer codes for these features is a strong indicator of real, detailed categorical data that has been numerically encoded.
3.  **Realistic Correlations**: The Pearson correlations between various features align well with known socio-economic patterns:
    *   `hours_per_week` and `education` are positively correlated with `income_above_50k` (r=0.3833 and r=0.3309 respectively), which is a fundamental economic truth.
    *   `age` is positively correlated with `income_above_50k` (r=0.2462), reflecting career progression.
    *   `age` and `marital_status` are negatively correlated (r=-0.4817), suggesting older individuals are more likely to be in certain marital statuses (e.g., married, if lower codes mean married).
    *   `marital_status` is negatively correlated with `income_above_50k` (r=-0.4490), which is also observed in real data (married individuals often have higher household or individual income).
    *   `place_of_birth` and `race` are correlated (r=0.3429), reflecting demographic concentrations.
    These inter-feature relationships are complex and difficult for synthetic models to perfectly replicate without introducing artifacts or oversimplifications.
4.  **No Obvious Artifacts**: There are no suspicious regularities, perfectly uniform distributions where they shouldn't be, or implausible value combinations that would typically flag synthetic data. The 'no missing values' observation is common for preprocessed real datasets.",[],"[""High cardinality in 'occupation' (7760 unique values) and 'place_of_birth' (495 unique values) out of 32561 rows."", 'Realistic statistical distributions (mean, std, skewness, kurtosis) for all columns, consistent with demographic data.', 'Strong and plausible correlations between key socio-economic variables (e.g., education, hours_per_week, age, marital_status with income_above_50k).', 'Absence of obvious synthetic data artifacts like perfect uniformity in non-uniform distributions or unrealistic value combinations.']",ctgan
2,2026-05-26T16:49:56.292006,google,gemini-2.5-flash,C1,REAL,REAL,True,95,"The dataset exhibits several characteristics typical of real-world, preprocessed tabular data, and lacks common artifacts found in synthetic datasets:

1.  **Irregularities in 'hours_per_week'**: While many 'hours_per_week' values are rounded (e.g., 40, 45, 50), the presence of non-rounded values like 16 and 36 is a strong indicator of real data. Synthetic models, especially simpler ones, often oversimplify distributions, leading to perfectly rounded or uniformly distributed values in such columns.
2.  **Complex Categorical Encoding**: Columns like `occupation`, `place_of_birth`, `education`, `class_of_worker`, `marital_status`, `relationship`, and `race` are represented by a wide range of seemingly arbitrary integer codes (e.g., `occupation` values like 410, 2001, 7315, 8140; `place_of_birth` values like 6, 12, 233). This complexity and non-sequential nature of codes are highly characteristic of real datasets where categorical features have been mapped to unique numerical identifiers during preprocessing, rather than simple 0, 1, 2, 3... sequences that synthetic models might default to.
3.  **Plausible Value Ranges and Combinations**: The values for `age`, `hours_per_week`, and the various categorical codes appear to be within reasonable ranges and combinations for a demographic/socioeconomic dataset. No immediately implausible combinations (e.g., a very young age with an extremely high `hours_per_week` and specific occupation that doesn't fit) are observed in the sample.
4.  **Resemblance to Known Real Datasets**: The column names and overall structure strongly resemble the well-known 'Adult Income' (or Census Income) dataset, which is a real-world dataset derived from the 1994 Census database, commonly used for classification tasks. This dataset typically involves similar encoded categorical features and a binary income target.
5.  **Lack of Synthetic Artifacts**: There are no obvious signs of over-smoothing, perfect uniformity, or repetitive patterns that often betray synthetic generation. The diversity of values across the sample suggests a rich underlying distribution.",[],"[""Presence of non-rounded 'hours_per_week' values (e.g., 16, 36)."", ""Complex and varied integer encoding for multiple categorical features (e.g., 'occupation', 'place_of_birth')."", ""Overall data structure and column names are highly consistent with the real-world 'Adult Income' dataset."", 'No obvious statistical regularities or over-simplifications typical of synthetic data.']",ctgan
3,2026-05-26T16:50:17.491631,google,gemini-2.5-flash,C1,SYNTHETIC,SYNTHETIC,True,95,"The dataset exhibits several strong statistical artifacts and implausible value patterns, particularly in categorical features that appear to be label-encoded. These patterns are highly indicative of data generated by a statistical or machine learning model, rather than collected from real-world observations.

1.  **'education' column**: The values observed (e.g., 16, 17, 18, 19, 20, 21, 22, 23) are highly suspicious. If this column represents standard education levels (e.g., as in the UCI Adult dataset, which this dataset strongly resembles), there are typically 16 distinct levels (e.g., 'Preschool' to 'Doctorate'). If these were label-encoded from 0-15 or 1-16, values like 17-23 are out of the expected range. This suggests the synthetic model generated values beyond the original categories or misinterpreted the encoding.

2.  **'occupation' column**: The integer values are large, seemingly arbitrary, and widely dispersed (e.g., 65, 507, 2184, 4321, 5442, 9019, 9623). Real-world occupation codes typically follow a structured scheme (e.g., SOC codes) or are represented by a limited set of string labels. When categorical features are label-encoded for synthetic data generation, models can sometimes generate integer labels that are numerically far apart or do not correspond to valid original categories, especially for high-cardinality features.

3.  **'place_of_birth' column**: Similar to 'occupation', this column contains a mix of small and large, seemingly arbitrary integer values (e.g., 6, 9, 20, 31, 123, 186). If this represents countries (as 'native-country' in the Adult dataset), the specific integer codes and their wide range are unusual for a simple label encoding of a limited set of countries. The value '186' is particularly high if it's an index for a typical list of countries in such a dataset.

These anomalies, especially the out-of-range 'education' values and the arbitrary, large integer codes for 'occupation' and 'place_of_birth', are common artifacts observed when generative models (like CTGAN, TVAE, etc.) are applied to datasets with label-encoded categorical features. The models learn to generate integer values but may not perfectly respect the original cardinality or semantic range of these labels.","['education values (16-23) are out of the plausible range for standard education levels or typical label encodings (e.g., 0-15 or 1-16).', 'occupation column contains large, arbitrary, and widely dispersed integer codes (e.g., 65, 507, 5442, 9019, 9623) which do not resemble standard occupation coding schemes.', ""place_of_birth column contains a mix of small and large, arbitrary integer codes (e.g., 6, 9, 186) which are suspicious for a label-encoded categorical feature like 'native-country'.""]",[],ctgan
4,2026-05-26T16:50:40.205799,google,gemini-2.5-flash,C2,SYNTHETIC,REAL,False,95,"The dataset exhibits several characteristics strongly indicative of real-world data, likely a preprocessed version of a demographic or census-type survey (e.g., Adult Census Income dataset).

1.  **Plausible Distributions and Ranges**: All numerical and encoded categorical columns (age, hours_per_week, class_of_worker, education, marital_status, relationship, sex, race, income_above_50k) have statistical summaries (mean, std, min, max, skewness, kurtosis) that are highly consistent with real-world demographic and socio-economic distributions. For instance, 'age' ranges from 17 to 90 with a mean of 42.5, and 'hours_per_week' ranges from 1 to 88 with a mean of 37.47, both of which are very realistic.
2.  **High Cardinality for Categorical Features**: The 'occupation' column has 7760 unique values and 'place_of_birth' has 495 unique values out of 32561 rows. Generating such high cardinality with realistic distributions and relationships is a significant challenge for most synthetic data models. In synthetic data, these often appear either too uniform, too few, or with suspicious patterns. The presence of many unique, seemingly arbitrary integer codes for these features is a strong indicator of real, detailed categorical data that has been numerically encoded.
3.  **Realistic Correlations**: The Pearson correlations between various features align well with known socio-economic patterns:
    *   `hours_per_week` and `education` are positively correlated with `income_above_50k` (r=0.3833 and r=0.3309 respectively), which is a fundamental economic truth.
    *   `age` is positively correlated with `income_above_50k` (r=0.2462), reflecting career progression.
    *   `age` and `marital_status` are negatively correlated (r=-0.4817), suggesting older individuals are more likely to be in certain marital statuses (e.g., married, if lower codes mean married).
    *   `marital_status` is negatively correlated with `income_above_50k` (r=-0.4490), which is also observed in real data (married individuals often have higher household or individual income).
    *   `place_of_birth` and `race` are correlated (r=0.3429), reflecting demographic concentrations.
    These inter-feature relationships are complex and difficult for synthetic models to perfectly replicate without introducing artifacts or oversimplifications.
4.  **No Obvious Artifacts**: There are no suspicious regularities, perfectly uniform distributions where they shouldn't be, or implausible value combinations that would typically flag synthetic data. The 'no missing values' observation is common for preprocessed real datasets.",[],"[""High cardinality in 'occupation' (7760 unique values) and 'place_of_birth' (495 unique values) out of 32561 rows."", 'Realistic statistical distributions (mean, std, skewness, kurtosis) for all columns, consistent with demographic data.', 'Strong and plausible correlations between key socio-economic variables (e.g., education, hours_per_week, age, marital_status with income_above_50k).', 'Absence of obvious synthetic data artifacts like perfect uniformity in non-uniform distributions or unrealistic value combinations.']",ctgan
5,2026-05-26T16:51:02.671090,google,gemini-2.5-flash,C1,SYNTHETIC,SYNTHETIC,True,95,"The primary indicator for this dataset being synthetic lies in the encoding of its categorical features, specifically 'occupation' and 'place_of_birth'. While many columns are numerically encoded, which is common in pre-processed data, the values in these two columns are large, non-sequential integers (e.g., 'occupation' values like 5442, 4321, 9019, 65; 'place_of_birth' values like 186, 123, 31, 9). 

This pattern is highly characteristic of synthetic data generation processes. Often, when training generative models, original string-based categorical features are mapped to unique integer IDs (e.g., using a hash function or a label encoder that assigns non-sequential IDs) to preserve distinctness without revealing the original categories. The generative model then learns to reproduce these specific integer representations. Real-world datasets, if they use integer encodings for categories, typically employ sequential integers (0, 1, 2, ...) or provide a clear mapping for any non-standard codes. The arbitrary and large nature of these integer IDs for 'occupation' and 'place_of_birth' is a strong statistical artifact of synthetic generation rather than natural data collection or standard pre-processing of real data.

Other columns like 'age', 'hours_per_week', 'sex', 'race', 'relationship', 'marital_status', 'education', 'class_of_worker', and 'income_above_50k' have values that appear plausible, assuming they are either direct numerical values or sequentially encoded categories. However, the distinct anomaly in 'occupation' and 'place_of_birth' is a dominant red flag. Furthermore, the overall structure and column names are highly reminiscent of the UCI Adult Income dataset, a common benchmark for synthetic data generation, which adds contextual support to the synthetic verdict.","[""Large, non-sequential integer encodings for 'occupation' (e.g., 5442, 4321, 9019, 65), which is typically a categorical feature."", ""Large, non-sequential integer encodings for 'place_of_birth' (e.g., 186, 123, 31, 9), also a categorical feature."", 'The combination of some columns having small, sequential-like integer encodings and others having large, arbitrary integer encodings is unusual for a purely real, pre-processed dataset, but common in synthetic data.']",[],ctgan
6,2026-05-26T16:51:22.632090,google,gemini-2.5-flash,C2,REAL,REAL,True,98,"The dataset exhibits numerous characteristics highly consistent with real-world demographic and socio-economic data, and lacks common artifacts found in synthetic datasets. The statistical metadata, in particular, provides strong evidence for its realness:

1.  **Plausible Distributions:** Variables like `age` (mean 43.4, min 17, max 94, slightly right-skewed) and `hours_per_week` (mean 38.3, min 1, max 99, nearly symmetric with slight kurtosis) show distributions that are highly realistic for a working population. The `sex` distribution (mean 1.48, std 0.4997) suggests a near 50/50 split, which is natural. The `income_above_50k` mean of 0.3648 indicates about 36.5% of the population earns above 50k, a plausible proportion for such a classification.

2.  **Semantically Meaningful Correlations:** The Pearson correlation coefficients are highly indicative of real-world relationships:
    *   `hours_per_week × income_above_50k: r=0.3280`: More hours worked often correlates with higher income.
    *   `education × income_above_50k: r=0.3113`: Higher education typically leads to higher income.
    *   `age × income_above_50k: r=0.2429`: Income generally increases with age up to a certain point.
    *   `sex × income_above_50k: r=-0.1725`: Suggests a gender pay gap, a known real-world phenomenon.
    *   `age × marital_status: r=-0.4945`: Age and marital status are strongly related (e.g., older individuals less likely to be single).
    *   `marital_status × relationship: r=0.4059`: These two variables are inherently linked.
    *   `education × occupation: r=-0.3770`: Education level influences occupation choices.
    These correlations are not just statistically significant but also make strong semantic sense in a human population context, which is challenging for synthetic models to perfectly replicate without prior knowledge or direct copying.

3.  **Complex Categorical Variables:** `occupation` (526 unique values) and `place_of_birth` (213 unique values) are represented by integer codes. Such a large number of unique categories is typical for detailed real-world classifications (e.g., specific job codes, countries/states of birth) and less common in simpler synthetic datasets unless explicitly modeled from a real source.

4.  **Non-Normal Distributions:** All columns show `Shapiro-Wilk p=0.0 (non-normal)`. This is expected for real-world data, especially with categorical variables or variables with natural bounds and specific real-world shapes (e.g., age, hours_per_week). Synthetic data can sometimes inadvertently produce more Gaussian-like distributions if not carefully designed.

5.  **No Obvious Synthetic Artifacts:** There are no suspicious regularities, 'round number' biases, or implausible value combinations in the sample data or metadata that would suggest artificial generation. The absence of missing values is common in cleaned real datasets.

This dataset strongly resembles the well-known UCI Adult Income dataset, which is a real dataset derived from census data, further supporting the 'REAL' verdict.",[],"['Plausible and realistic distributions for numerical variables (age, hours_per_week).', 'Strong, semantically meaningful correlations between multiple variables (e.g., education-income, hours-income, age-marital status, sex-income).', 'Presence of complex categorical variables with a large number of unique integer codes (occupation, place_of_birth).', 'Non-normal distributions across all variables, consistent with real-world data characteristics.', 'Realistic proportions for binary variables (sex, income_above_50k).']",ctgan
7,2026-05-26T16:51:38.961898,google,gemini-2.5-flash,C2,REAL,REAL,True,98,"The dataset exhibits numerous characteristics highly consistent with real-world demographic and socio-economic data, and lacks common artifacts found in synthetic datasets. The statistical metadata, in particular, provides strong evidence for its realness:

1.  **Plausible Distributions:** Variables like `age` (mean 43.4, min 17, max 94, slightly right-skewed) and `hours_per_week` (mean 38.3, min 1, max 99, nearly symmetric with slight kurtosis) show distributions that are highly realistic for a working population. The `sex` distribution (mean 1.48, std 0.4997) suggests a near 50/50 split, which is natural. The `income_above_50k` mean of 0.3648 indicates about 36.5% of the population earns above 50k, a plausible proportion for such a classification.

2.  **Semantically Meaningful Correlations:** The Pearson correlation coefficients are highly indicative of real-world relationships:
    *   `hours_per_week × income_above_50k: r=0.3280`: More hours worked often correlates with higher income.
    *   `education × income_above_50k: r=0.3113`: Higher education typically leads to higher income.
    *   `age × income_above_50k: r=0.2429`: Income generally increases with age up to a certain point.
    *   `sex × income_above_50k: r=-0.1725`: Suggests a gender pay gap, a known real-world phenomenon.
    *   `age × marital_status: r=-0.4945`: Age and marital status are strongly related (e.g., older individuals less likely to be single).
    *   `marital_status × relationship: r=0.4059`: These two variables are inherently linked.
    *   `education × occupation: r=-0.3770`: Education level influences occupation choices.
    These correlations are not just statistically significant but also make strong semantic sense in a human population context, which is challenging for synthetic models to perfectly replicate without prior knowledge or direct copying.

3.  **Complex Categorical Variables:** `occupation` (526 unique values) and `place_of_birth` (213 unique values) are represented by integer codes. Such a large number of unique categories is typical for detailed real-world classifications (e.g., specific job codes, countries/states of birth) and less common in simpler synthetic datasets unless explicitly modeled from a real source.

4.  **Non-Normal Distributions:** All columns show `Shapiro-Wilk p=0.0 (non-normal)`. This is expected for real-world data, especially with categorical variables or variables with natural bounds and specific real-world shapes (e.g., age, hours_per_week). Synthetic data can sometimes inadvertently produce more Gaussian-like distributions if not carefully designed.

5.  **No Obvious Synthetic Artifacts:** There are no suspicious regularities, 'round number' biases, or implausible value combinations in the sample data or metadata that would suggest artificial generation. The absence of missing values is common in cleaned real datasets.

This dataset strongly resembles the well-known UCI Adult Income dataset, which is a real dataset derived from census data, further supporting the 'REAL' verdict.",[],"['Plausible and realistic distributions for numerical variables (age, hours_per_week).', 'Strong, semantically meaningful correlations between multiple variables (e.g., education-income, hours-income, age-marital status, sex-income).', 'Presence of complex categorical variables with a large number of unique integer codes (occupation, place_of_birth).', 'Non-normal distributions across all variables, consistent with real-world data characteristics.', 'Realistic proportions for binary variables (sex, income_above_50k).']",ctgan
8,2026-05-26T16:51:57.972241,google,gemini-2.5-flash,C2,SYNTHETIC,REAL,False,95,"The dataset exhibits numerous characteristics highly consistent with real-world demographic and economic data, strongly resembling the well-known 'Adult' (or 'Census Income') dataset. 

1.  **Semantic Plausibility:** The column names (age, class_of_worker, education, marital_status, occupation, place_of_birth, relationship, hours_per_week, sex, race, income_above_50k) are standard for socio-economic surveys. The values within these columns (e.g., age range 17-90, hours_per_week 1-88, binary sex/income) are all within realistic bounds.
2.  **Distribution Shapes:** The skewness and kurtosis values for continuous and ordinal variables (e.g., `age` being nearly symmetric, `hours_per_week` slightly left-skewed with a peak around 40, `place_of_birth` and `race` being right-skewed) are typical for real population distributions. The Shapiro-Wilk p-values of 0.0 for all columns indicate non-normal distributions, which is expected for real-world data, especially categorical or count data, and even for continuous data in large samples.
3.  **Meaningful Correlations:** The observed Pearson correlations are highly semantically consistent with real-world socio-economic relationships:
    *   `age` negatively correlated with `marital_status` and `relationship` (e.g., younger people more likely to be single/children, older people more likely to be married/head of household).
    *   `hours_per_week` positively correlated with `income_above_50k` (more work hours often means higher income).
    *   `education` positively correlated with `income_above_50k` (higher education often leads to higher income).
    *   `marital_status` negatively correlated with `income_above_50k` (certain marital statuses like single/divorced might correlate with lower income).
    *   `place_of_birth` correlated with `race` (demographic clustering).
    These complex, multi-variate relationships are challenging for many synthetic data models to replicate accurately and consistently across all variables without explicit domain knowledge or very advanced techniques.
4.  **High Cardinality Categorical Variables:** The `occupation` column has 7760 unique values and `place_of_birth` has 495 unique values. While this might seem high for simple categorical encoding, it is highly plausible for detailed, fine-grained codes used in real census or survey data (e.g., specific job titles or detailed geographic codes). Synthetic models often struggle to generate such high-cardinality categorical data with realistic distributions and correlations.
5.  **Lack of Obvious Artifacts:** There are no apparent statistical artifacts, implausible value combinations (e.g., a 17-year-old earning a very high income without corresponding hours/education), or suspicious regularities that would typically indicate synthetic generation. The absence of missing values is common in cleaned real datasets and not a strong indicator of synthetic data.",[],"[""Strong semantic consistency of column names and values with real-world demographic data (resembles 'Adult' dataset)."", 'Realistic distributions (skewness, kurtosis, ranges) for all variables.', 'Complex and semantically meaningful correlations between multiple variables.', ""High cardinality in 'occupation' and 'place_of_birth' columns, consistent with detailed real-world coding schemes."", 'Non-normal distributions (Shapiro-Wilk p=0.0) are typical for real-world data.']",ctgan
9,2026-05-26T16:52:17.771905,google,gemini-2.5-flash,C2,REAL,REAL,True,98,"The dataset exhibits numerous characteristics highly consistent with real-world demographic and socio-economic data, and lacks common artifacts found in synthetic datasets. The statistical metadata, in particular, provides strong evidence for its realness:

1.  **Plausible Distributions:** Variables like `age` (mean 43.4, min 17, max 94, slightly right-skewed) and `hours_per_week` (mean 38.3, min 1, max 99, nearly symmetric with slight kurtosis) show distributions that are highly realistic for a working population. The `sex` distribution (mean 1.48, std 0.4997) suggests a near 50/50 split, which is natural. The `income_above_50k` mean of 0.3648 indicates about 36.5% of the population earns above 50k, a plausible proportion for such a classification.

2.  **Semantically Meaningful Correlations:** The Pearson correlation coefficients are highly indicative of real-world relationships:
    *   `hours_per_week × income_above_50k: r=0.3280`: More hours worked often correlates with higher income.
    *   `education × income_above_50k: r=0.3113`: Higher education typically leads to higher income.
    *   `age × income_above_50k: r=0.2429`: Income generally increases with age up to a certain point.
    *   `sex × income_above_50k: r=-0.1725`: Suggests a gender pay gap, a known real-world phenomenon.
    *   `age × marital_status: r=-0.4945`: Age and marital status are strongly related (e.g., older individuals less likely to be single).
    *   `marital_status × relationship: r=0.4059`: These two variables are inherently linked.
    *   `education × occupation: r=-0.3770`: Education level influences occupation choices.
    These correlations are not just statistically significant but also make strong semantic sense in a human population context, which is challenging for synthetic models to perfectly replicate without prior knowledge or direct copying.

3.  **Complex Categorical Variables:** `occupation` (526 unique values) and `place_of_birth` (213 unique values) are represented by integer codes. Such a large number of unique categories is typical for detailed real-world classifications (e.g., specific job codes, countries/states of birth) and less common in simpler synthetic datasets unless explicitly modeled from a real source.

4.  **Non-Normal Distributions:** All columns show `Shapiro-Wilk p=0.0 (non-normal)`. This is expected for real-world data, especially with categorical variables or variables with natural bounds and specific real-world shapes (e.g., age, hours_per_week). Synthetic data can sometimes inadvertently produce more Gaussian-like distributions if not carefully designed.

5.  **No Obvious Synthetic Artifacts:** There are no suspicious regularities, 'round number' biases, or implausible value combinations in the sample data or metadata that would suggest artificial generation. The absence of missing values is common in cleaned real datasets.

This dataset strongly resembles the well-known UCI Adult Income dataset, which is a real dataset derived from census data, further supporting the 'REAL' verdict.",[],"['Plausible and realistic distributions for numerical variables (age, hours_per_week).', 'Strong, semantically meaningful correlations between multiple variables (e.g., education-income, hours-income, age-marital status, sex-income).', 'Presence of complex categorical variables with a large number of unique integer codes (occupation, place_of_birth).', 'Non-normal distributions across all variables, consistent with real-world data characteristics.', 'Realistic proportions for binary variables (sex, income_above_50k).']",ctgan
