age,class_of_worker,education,marital_status,occupation,place_of_birth,relationship,hours_per_week,sex,race,income_above_50k
57,1,19,1,5533,37,0,40,2,1,1
31,1,16,1,5688,34,0,40,1,1,0
33,1,16,5,6554,2,13,40,1,8,0
31,1,21,1,3140,37,1,40,2,1,0
56,1,21,1,6373,38,0,40,2,1,0
47,1,19,1,5297,37,0,40,1,1,1
64,1,21,3,207,35,13,40,1,1,1
25,1,19,5,5548,28,0,40,1,1,0
28,1,18,5,6149,11,0,40,2,1,0
60,1,21,1,3726,42,0,40,2,1,0
26,1,20,1,5702,225,1,40,2,6,0
33,1,21,1,2410,36,1,40,2,1,0
37,1,10,1,6466,48,0,40,1,1,0
61,3,20,1,2441,32,10,10,2,1,0
21,1,19,5,4733,36,17,16,1,1,0
45,1,22,1,611,15,0,50,1,1,1
51,2,24,1,2396,9,1,10,2,1,0
26,1,14,1,4140,331,10,40,2,1,0
46,1,21,1,575,13,1,50,1,1,1
29,1,19,5,4653,38,2,40,2,1,0
44,1,22,5,184,36,0,40,2,1,1
45,1,21,1,2339,240,0,40,2,6,0
64,1,21,1,3732,10,0,40,2,1,0
51,1,16,1,6442,32,1,40,1,1,0
27,1,16,1,5469,10,1,40,2,1,0
28,1,19,5,5256,13,0,40,1,1,0
37,3,22,1,2424,212,0,40,2,6,0
46,1,19,1,265,223,0,40,1,6,1
65,1,19,1,5515,32,1,8,2,1,0
24,1,16,5,4065,23,13,40,2,1,0
26,1,16,5,9756,38,16,40,1,1,0
51,1,21,5,10,18,0,50,1,1,1
49,1,19,5,10,31,0,40,1,1,1
47,1,21,5,4678,37,0,40,2,1,0
52,1,19,1,5445,40,1,40,2,1,0
51,1,21,1,2940,25,0,40,1,1,1
33,1,16,3,6296,21,0,40,2,1,0
17,1,19,5,4635,53,2,10,2,1,0
31,1,18,1,5865,3,0,33,2,1,0
29,1,21,5,228,30,0,40,2,1,1
36,1,16,5,9236,34,0,40,1,1,0
43,1,21,3,148,4,0,40,1,1,1
56,1,19,1,5927,32,0,40,2,1,0
38,3,21,1,2161,24,1,40,2,1,0
45,1,22,1,701,7,0,40,1,1,1
44,1,9,1,7404,297,1,40,1,1,1
43,1,22,1,1035,45,0,40,1,1,1
64,1,19,1,5318,39,0,40,1,1,0
21,1,16,5,9830,306,2,40,1,8,0
40,1,22,1,63,40,1,40,1,1,1
49,1,16,1,465,5,1,40,1,1,1
55,1,20,1,129,19,0,50,1,1,1
17,1,8,5,4183,11,2,9,2,1,0
36,3,21,1,2437,37,0,40,2,1,0
22,1,16,5,5164,13,12,40,2,1,0
25,1,19,5,5062,40,2,40,2,1,0
19,1,19,5,4618,311,2,14,2,6,0
48,1,16,5,9123,315,0,40,1,6,0
41,1,1,5,104,1,0,40,1,1,1
21,1,19,5,6122,5,17,40,1,1,0
52,1,22,1,320,37,1,50,1,1,1
49,1,16,1,6355,44,0,40,1,1,1
48,1,21,1,248,236,0,40,1,6,1
37,1,21,1,968,35,0,40,1,1,1
32,1,21,1,1970,13,1,11,2,1,0
28,1,16,5,3956,4,0,9,2,1,0
22,1,16,1,4197,24,9,40,2,1,0
25,1,16,5,5601,14,2,40,1,1,0
65,1,21,1,3229,43,0,40,2,1,0
46,1,21,1,328,8,1,50,1,1,1
48,1,16,3,5765,8,0,40,1,1,0
20,1,18,5,4638,7,17,12,2,1,0
69,1,19,1,107,23,0,40,1,1,1
27,1,19,3,6373,4,0,40,2,1,0
19,1,14,5,3925,311,17,34,2,1,0
34,1,19,5,4989,24,0,40,1,1,1
42,1,17,5,9483,45,0,40,1,1,1
23,1,16,3,5710,11,9,40,2,1,0
27,1,16,3,4124,34,16,40,2,1,0
27,1,21,1,2589,46,1,40,2,1,0
17,1,14,5,4267,5,2,14,1,8,0
23,1,14,5,9253,50,17,40,1,1,0
20,1,19,5,4785,39,2,8,2,1,0
42,1,16,1,5462,2,0,40,1,1,0
58,1,20,1,481,15,0,40,1,1,1
34,1,21,1,2275,5,0,40,1,1,1
46,1,16,1,5683,4,0,40,1,1,0
29,1,16,3,9055,49,16,40,1,1,0
26,1,16,5,4097,42,2,40,2,1,0
51,1,19,1,410,14,0,40,1,1,1
37,1,16,1,4864,8,0,40,2,1,0
34,6,19,1,2792,18,1,13,2,1,0
21,1,16,5,9132,7,2,40,1,1,0
27,1,22,5,2320,10,13,40,2,1,1
35,1,20,1,2164,220,1,16,2,6,0
37,1,19,1,4733,43,1,40,2,1,0
45,1,20,1,497,27,0,40,1,1,1
56,1,19,1,360,34,0,40,1,1,1
46,1,21,1,186,41,1,40,1,1,1
53,1,21,3,362,18,0,40,1,1,1
27,1,19,3,3613,38,0,36,2,1,0
61,1,17,1,3565,32,1,40,2,1,0
51,1,22,1,961,46,0,40,1,1,1
36,1,16,1,5971,51,0,40,2,1,0
43,1,21,1,3252,20,0,40,2,1,1
49,1,19,1,561,10,1,50,1,1,1
51,1,22,1,266,38,0,50,1,1,1
52,1,16,5,5418,37,0,40,1,1,1
59,1,21,1,10,7,0,40,2,1,1
24,1,19,5,5756,20,2,40,2,1,0
17,1,16,5,2538,225,2,9,2,6,0
54,1,16,5,9069,38,0,40,1,1,0
18,1,16,5,4318,29,2,9,1,1,0
28,1,17,5,9203,4,13,40,1,1,0
34,1,18,1,7002,40,1,40,1,1,0
24,1,18,1,3957,22,0,40,2,1,0
49,1,21,3,403,39,0,40,2,1,1
18,1,18,5,4803,24,17,12,2,1,0
68,1,19,3,5143,5,0,40,2,1,0
39,1,21,1,285,12,0,40,1,1,1
18,1,16,5,4300,10,17,12,2,1,0
31,1,16,3,9044,24,16,40,1,1,0
22,1,19,5,6698,35,2,40,1,1,0
60,2,21,1,2136,4,0,33,2,1,0
31,1,16,1,8768,2,0,40,1,1,0
40,1,16,3,6135,4,0,40,2,1,0
54,1,16,1,5890,45,1,40,1,1,0
28,1,16,5,5674,8,13,40,1,1,0
20,1,19,5,4666,11,17,33,2,1,0
28,1,17,3,4059,5,0,40,1,1,0
40,1,19,1,7446,12,1,40,1,1,1
29,1,18,5,6118,41,13,40,2,1,0
21,1,16,5,4714,49,17,10,1,1,0
53,1,10,1,259,305,1,50,1,1,1
44,4,24,1,2652,9,0,16,2,1,0
33,1,21,5,5738,13,0,40,2,1,0
18,1,15,5,4202,38,16,13,1,1,0
27,1,21,1,2304,8,0,13,2,1,0
48,1,21,1,181,40,1,40,2,1,1
27,1,19,1,5717,304,0,40,2,1,0
62,1,19,1,5275,17,1,40,2,1,0
30,1,19,3,6531,45,0,40,1,1,0
43,1,19,1,4663,301,1,40,2,1,0
48,1,21,1,347,25,0,50,1,1,1
46,1,20,3,824,42,13,40,1,1,1
23,1,19,5,5359,38,12,33,2,1,0
45,1,22,1,495,36,1,40,1,1,1
29,1,19,1,5143,22,1,40,2,1,0
30,1,16,1,6518,39,0,40,1,1,0
19,2,19,5,2336,6,2,7,2,1,0
40,1,19,1,5752,236,0,40,1,1,1
36,1,22,1,3211,7,1,40,1,1,1
30,1,21,1,2466,30,0,40,1,1,0
70,1,19,1,2596,14,0,11,2,1,0
30,1,21,1,2170,2,1,40,2,1,0
29,1,21,1,965,37,1,40,1,1,0
21,1,19,1,5925,36,0,40,2,1,0
24,1,19,5,4699,40,12,12,2,1,0
26,1,16,1,4090,308,9,40,1,6,0
30,1,21,5,5206,11,13,40,2,1,0
41,1,21,1,5125,37,0,40,1,1,1
58,1,16,1,286,35,0,40,1,1,1
49,1,21,3,76,10,0,40,1,1,1
29,1,19,5,3929,37,2,40,2,1,0
43,1,21,3,524,10,0,40,1,1,1
45,1,21,3,222,3,0,40,1,1,1
47,1,19,1,10,39,0,50,1,1,1
46,1,19,1,4583,6,0,40,1,1,1
41,1,19,1,1327,8,1,40,1,1,1
48,1,19,1,216,35,1,40,1,1,1
46,1,21,1,2744,37,1,40,2,1,1
33,1,22,1,845,39,0,40,1,1,1
24,1,22,5,2359,226,2,40,2,6,0
44,1,11,5,5540,308,0,40,1,1,0
48,1,16,1,6104,35,1,40,2,1,0
26,1,17,5,9322,42,13,40,1,1,0
52,1,22,1,299,39,1,50,1,1,1
26,1,20,1,5853,25,1,40,2,1,0
61,1,18,1,4102,328,9,40,2,1,0
37,1,21,3,986,27,0,40,1,1,1
21,1,14,5,4112,47,2,8,1,1,0
61,1,16,1,5474,35,0,40,2,1,0
55,1,16,1,5483,37,0,40,1,1,1
22,1,21,3,2135,40,0,40,2,1,0
76,1,21,1,3749,21,0,40,2,1,0
58,1,16,3,5823,10,0,40,1,1,0
29,1,19,1,5074,27,0,40,2,1,0
51,1,19,1,4929,5,0,40,1,1,1
51,1,17,5,8120,41,0,40,1,1,1
46,1,16,1,5863,288,1,40,1,1,0
46,1,19,1,223,8,0,40,1,1,1
39,1,21,1,2399,22,1,40,2,1,0
54,1,16,1,7955,16,0,40,1,1,1
51,1,21,5,3522,7,13,40,2,1,0
20,1,19,3,4131,54,0,40,2,1,0
45,1,16,1,6980,6,0,40,1,1,0
54,1,16,1,18,36,0,50,1,1,1
56,1,20,3,479,37,0,40,2,1,1
20,1,18,5,4172,19,17,9,2,1,0
33,1,16,5,7318,7,0,40,1,1,1
64,1,19,1,3625,41,0,31,2,1,0
58,1,20,1,4722,22,0,40,2,1,0
61,3,21,1,2428,310,1,13,2,1,0
28,1,18,5,6353,7,0,40,2,1,0
60,1,14,1,3958,4,0,11,2,1,0
34,1,21,3,3348,37,0,40,2,1,0
48,1,21,3,397,38,0,40,1,1,1
20,1,19,5,4597,33,2,7,2,1,0
42,1,21,1,157,41,0,50,1,1,1
28,1,21,3,5367,18,0,40,1,1,0
22,1,19,5,5251,1,2,40,2,1,0
41,1,21,1,1568,19,0,40,1,1,1
57,1,16,1,6161,43,1,40,1,1,1
61,1,16,1,6433,39,0,40,1,1,1
20,1,16,5,3989,7,2,40,1,1,0
41,3,21,1,2481,25,1,40,2,1,0
22,1,16,5,6012,46,2,40,2,1,0
53,1,19,1,7637,17,1,40,1,1,1
49,1,18,1,5193,324,0,40,1,1,1
73,1,16,1,3285,41,0,33,2,1,0
67,1,19,5,5438,6,0,34,2,1,0
37,1,16,1,6505,39,0,40,1,1,0
50,1,21,1,563,38,1,40,1,1,1
60,1,16,1,5372,33,0,40,1,1,0
48,1,18,1,7885,16,0,50,1,1,1
27,1,16,1,3986,9,1,9,2,1,0
31,1,19,3,5832,37,0,40,2,1,0
61,1,16,1,4994,33,1,40,2,1,0
50,1,21,1,4872,9,1,40,2,1,1
22,1,16,5,4020,29,2,40,2,1,0
44,1,19,1,6080,9,0,40,1,1,0
47,1,22,1,3070,215,1,40,2,6,0
47,1,21,1,944,24,0,40,1,1,1
26,1,21,5,708,23,13,40,1,1,0
19,1,13,5,4053,39,2,8,2,1,0
23,1,19,5,4725,41,12,34,2,1,0
39,1,21,1,2494,5,0,40,2,1,0
26,1,16,1,4071,19,10,40,2,1,0
60,1,11,1,4370,37,1,40,2,1,0
19,1,16,5,4198,30,2,12,1,1,0
47,1,22,3,297,26,0,40,1,1,1
42,3,22,1,2447,213,1,40,2,6,0
38,1,19,1,6539,6,0,40,1,1,0
52,1,20,3,10,37,0,40,1,1,1
25,1,16,5,6144,8,0,40,2,1,0
24,1,19,1,5369,44,1,31,2,1,0
51,1,21,1,199,28,0,40,1,1,1
59,1,19,3,4774,35,0,40,2,1,0
63,1,19,1,5027,9,0,40,2,1,0
55,1,19,1,4790,24,1,40,1,1,0
26,1,16,1,4158,42,0,40,2,1,0
27,1,16,5,6005,21,2,40,2,1,0
60,1,18,1,5824,21,0,40,2,1,0
22,1,16,3,4099,27,0,40,2,1,0
56,1,16,5,6201,35,0,40,1,1,1
38,1,21,1,2132,36,1,40,1,1,1
57,1,19,1,5662,37,0,40,1,1,1
64,1,18,1,5269,25,0,40,2,1,0
35,1,19,3,5498,2,0,40,2,1,0
44,1,21,1,1644,39,1,50,1,1,1
19,1,9,5,4297,54,17,15,1,1,0
59,1,16,3,5418,28,0,40,1,1,1
45,1,21,5,3332,41,13,40,2,1,1
35,3,21,1,2313,5,1,15,2,1,0
54,1,19,1,6045,23,1,40,1,1,0
78,3,21,1,2250,38,1,40,2,1,1
52,1,16,1,7556,21,0,40,1,1,1
34,1,21,5,1524,6,0,40,1,1,1
25,1,19,5,5980,34,13,40,1,1,0
54,1,21,1,1425,25,0,40,1,1,1
28,1,19,5,5072,43,13,40,2,1,0
17,1,14,5,4686,28,16,12,2,1,0
23,1,19,1,4513,34,0,9,2,1,0
34,2,22,1,2076,36,0,12,2,1,0
59,1,19,1,3750,5,0,8,2,1,0
55,1,16,1,7902,12,0,40,1,1,1
50,1,16,1,145,41,1,40,1,1,1
47,1,16,1,7887,8,0,40,1,1,1
23,1,21,1,2649,17,9,40,1,1,0
26,1,21,5,5701,3,0,40,1,1,0
60,2,21,1,2680,41,1,10,2,1,0
45,1,20,3,194,10,0,50,1,1,1
28,1,16,1,4174,37,1,14,2,1,0
46,1,21,1,1781,8,1,40,1,1,1
29,1,21,1,2132,212,1,6,2,6,0
23,1,14,5,4172,28,2,40,1,1,0
43,1,19,1,224,3,1,40,2,1,1
22,1,17,5,8769,22,2,40,1,1,0
25,2,21,5,2027,12,17,31,2,1,0
59,1,16,1,7415,18,0,40,1,1,1
48,1,16,1,5618,39,0,40,1,1,0
44,1,16,1,5788,10,1,40,2,1,0
17,1,16,5,3976,5,17,15,2,1,0
44,1,21,5,1355,23,0,40,2,1,1
32,1,21,5,1116,20,0,40,1,1,1
23,1,21,5,2380,41,12,40,2,1,0
39,1,22,1,978,4,0,40,1,1,1
26,1,16,1,6617,28,1,40,2,1,0
22,1,17,3,5767,37,15,40,1,1,0
42,1,20,5,458,20,0,40,1,1,1
44,1,21,1,10,2,0,40,2,1,1
26,1,16,1,6312,16,9,40,1,1,0
47,1,19,1,6204,6,1,40,1,1,1
57,1,16,1,6368,18,0,40,2,1,0
29,1,16,1,4112,309,0,40,2,1,0
35,2,21,3,2128,21,0,40,2,1,1
42,1,16,5,5992,313,0,40,1,1,0
42,1,17,1,5922,37,0,40,1,1,0
24,1,16,1,4928,6,1,40,2,1,0
36,1,16,1,7891,299,0,40,1,1,0
57,1,16,3,5395,22,0,40,1,1,0
24,1,18,5,5405,24,13,40,1,1,0
45,1,21,1,435,264,0,40,1,6,1
50,1,16,5,5243,37,0,40,1,1,1
