trial_id,timestamp,provider,model,condition,true_label,predicted_label,correct,confidence,reasoning,red_flags,supporting_evidence,synthetic_method
0,2026-05-27T12:59:18.729173,groq,llama-3.1-8b-instant,C1,SYNTHETIC,SYNTHETIC,True,80,"The dataset appears to be synthetic due to the presence of suspicious patterns and anomalies. Notably, the distribution of the 'class_of_worker' column is highly skewed towards a single value (1), which is unusual for a real-world dataset. Additionally, the 'occupation' column has a large number of unique values (1155), which is implausible for a real-world dataset. Furthermore, the 'place_of_birth' column has a large number of unique values (25), which is also unusual for a real-world dataset. The 'relationship' column has a large number of unique values (13), which is also suspicious. The 'hours_per_week' column has a large number of unique values (40), which is also unusual for a real-world dataset. The 'sex' column has a large number of unique values (2), which is unusual for a real-world dataset. The 'race' column has a large number of unique values (1), which is unusual for a real-world dataset. The 'income_above_50k' column has a large number of unique values (1), which is unusual for a real-world dataset.","[""Highly skewed distribution of 'class_of_worker' column"", ""Large number of unique values in 'occupation' column"", ""Large number of unique values in 'place_of_birth' column"", ""Large number of unique values in 'relationship' column"", ""Large number of unique values in 'hours_per_week' column"", ""Large number of unique values in 'sex' column"", ""Large number of unique values in 'race' column"", ""Large number of unique values in 'income_above_50k' column""]",[],tvae
1,2026-05-27T12:59:37.605604,groq,llama-3.1-8b-instant,C1,REAL,SYNTHETIC,False,80,"The dataset appears to be synthetic due to several statistical artifacts and implausible value combinations. For instance, the distribution of the 'income_above_50k' column is highly skewed, with a large proportion of individuals reporting an income above $50,000. This is unusual, as income distributions are typically right-skewed but not to this extent. Additionally, the 'education' column has a large number of unique values, which is unusual for a real-world dataset. Furthermore, the 'occupation' column has a large number of unique values, which is also unusual for a real-world dataset. The 'place_of_birth' column has a large number of unique values, which is also unusual for a real-world dataset. The 'relationship' column has a large number of unique values, which is also unusual for a real-world dataset. The 'hours_per_week' column has a large number of unique values, which is also unusual for a real-world dataset. The 'sex' column has a large number of unique values, which is also unusual for a real-world dataset. The 'race' column has a large number of unique values, which is also unusual for a real-world dataset.","[""Highly skewed distribution of 'income_above_50k' column"", ""Large number of unique values in 'education' column"", ""Large number of unique values in 'occupation' column"", ""Large number of unique values in 'place_of_birth' column"", ""Large number of unique values in 'relationship' column"", ""Large number of unique values in 'hours_per_week' column"", ""Large number of unique values in 'sex' column"", ""Large number of unique values in 'race' column""]",[],tvae
2,2026-05-27T13:00:02.601484,groq,llama-3.1-8b-instant,C2,REAL,SYNTHETIC,False,85,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are often high and statistically significant, which may indicate that the data was generated to produce specific relationships. The distribution of values in some columns, such as 'place_of_birth' and 'occupation', appears to be artificially generated. Furthermore, the dataset lacks any obvious outliers or anomalies, which is unusual for real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', ""Artificially generated distributions in 'place_of_birth' and 'occupation'"", 'Lack of outliers or anomalies']",[],tvae
3,2026-05-27T13:00:18.589369,groq,llama-3.1-8b-instant,C1,REAL,SYNTHETIC,False,80,"The dataset appears to be synthetic due to the presence of suspicious patterns and anomalies. Notably, the distribution of the 'income_above_50k' column is highly imbalanced, with a large proportion of zeros and a small proportion of ones. This is unusual in real-world datasets, where income distributions are typically more skewed towards lower values. Additionally, the 'education' and 'occupation' columns exhibit a high degree of correlation, which is not typically observed in real-world data. Furthermore, the 'place_of_birth' column contains a large number of unique values, which is unlikely in a real-world dataset of this size.","[""Highly imbalanced 'income_above_50k' distribution"", ""High correlation between 'education' and 'occupation' columns"", ""Large number of unique values in 'place_of_birth' column""]","[""Unusual distribution of 'marital_status' and 'relationship' columns"", ""Presence of outliers in 'hours_per_week' column""]",tvae
4,2026-05-27T13:00:47.419130,groq,llama-3.1-8b-instant,C2,SYNTHETIC,SYNTHETIC,True,80,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are high and often negative, which is not typical of real-world data. The distribution of values in some columns, such as occupation and place_of_birth, is also suspiciously uniform. Furthermore, the dataset contains a large number of unique values in some columns, which is not typical of real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', 'Suspiciously uniform distribution of values in occupation and place_of_birth', 'Large number of unique values in some columns']","['Shapiro-Wilk test results', 'Correlation matrix', 'Distribution plots for occupation and place_of_birth']",tvae
5,2026-05-27T13:01:16.308359,groq,llama-3.1-8b-instant,C2,SYNTHETIC,SYNTHETIC,True,80,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are high and often negative, which is not typical of real-world data. The distribution of values in some columns, such as occupation and place_of_birth, is also suspiciously uniform. Furthermore, the dataset contains a large number of unique values in some columns, which is not typical of real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', 'Suspiciously uniform distribution of values in occupation and place_of_birth', 'Large number of unique values in some columns']","['Shapiro-Wilk test results', 'Correlation matrix', 'Distribution plots for occupation and place_of_birth']",tvae
6,2026-05-27T13:01:44.592096,groq,llama-3.1-8b-instant,C2,REAL,SYNTHETIC,False,85,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are often high and statistically significant, which may indicate that the data was generated to produce specific relationships. The distribution of values in some columns, such as 'place_of_birth' and 'occupation', appears to be artificially generated. Furthermore, the dataset lacks any obvious outliers or anomalies, which is unusual for real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', ""Artificially generated distributions in 'place_of_birth' and 'occupation'"", 'Lack of outliers or anomalies']",[],tvae
7,2026-05-27T13:02:12.819198,groq,llama-3.1-8b-instant,C2,SYNTHETIC,SYNTHETIC,True,80,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are high and often negative, which is not typical of real-world data. The distribution of values in some columns, such as occupation and place_of_birth, is also suspiciously uniform. Furthermore, the dataset contains a large number of unique values in some columns, which is not typical of real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', 'Suspiciously uniform distribution of values in occupation and place_of_birth', 'Large number of unique values in some columns']","['Shapiro-Wilk test results', 'Correlation matrix', 'Distribution plots for occupation and place_of_birth']",tvae
8,2026-05-27T13:02:28.652275,groq,llama-3.1-8b-instant,C1,SYNTHETIC,SYNTHETIC,True,80,"The dataset appears to be synthetic due to the presence of suspicious patterns and anomalies. Notably, the distribution of the 'class_of_worker' column is highly skewed towards a single value (1), which is unusual for a real-world dataset. Additionally, the 'occupation' column has a large number of unique values (1155), which is implausible for a real-world dataset. Furthermore, the 'place_of_birth' column has a large number of unique values (25), which is also unusual for a real-world dataset. The 'relationship' column has a large number of unique values (13), which is also suspicious. The 'hours_per_week' column has a large number of unique values (40), which is also unusual for a real-world dataset. The 'sex' column has a large number of unique values (2), which is also suspicious. The 'race' column has a large number of unique values (1), which is also unusual for a real-world dataset. The 'income_above_50k' column has a large number of unique values (1), which is also suspicious.","[""Highly skewed distribution of 'class_of_worker' column"", ""Large number of unique values in 'occupation' column"", ""Large number of unique values in 'place_of_birth' column"", ""Large number of unique values in 'relationship' column"", ""Large number of unique values in 'hours_per_week' column"", ""Large number of unique values in 'sex' column"", ""Large number of unique values in 'race' column"", ""Large number of unique values in 'income_above_50k' column""]",[],tvae
9,2026-05-27T13:02:58.571030,groq,llama-3.1-8b-instant,C2,SYNTHETIC,SYNTHETIC,True,80,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are high and often negative, which is not typical of real-world data. The distribution of values in some columns, such as occupation and place_of_birth, is also suspiciously uniform. Furthermore, the dataset contains a large number of unique values in some columns, which is not typical of real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', 'Suspiciously uniform distribution of values in occupation and place_of_birth', 'Large number of unique values in some columns']","['Shapiro-Wilk test results', 'Correlation matrix', 'Distribution plots for occupation and place_of_birth']",tvae
