annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
TK,20260530_232929,adult,ctgan,0,C1,20,SYNTHETIC,SYNTHETIC,True,70,Wife and Male!!,2026-05-30T23:31:00.498374
TK,20260530_232929,adult,ctgan,0,C2,20,SYNTHETIC,SYNTHETIC,True,99,,2026-05-30T23:31:00.498405
TK,20260530_232929,adult,ctgan,1,C1,20,SYNTHETIC,REAL,False,50,,2026-05-30T23:32:57.912991
TK,20260530_232929,adult,ctgan,1,C2,20,SYNTHETIC,SYNTHETIC,True,74,,2026-05-30T23:32:57.913023
TK,20260530_232929,adult,ctgan,2,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:33:36.280939
TK,20260530_232929,adult,ctgan,2,C2,20,REAL,REAL,True,53,,2026-05-30T23:33:36.280970
TK,20260530_232929,adult,ctgan,3,C1,20,SYNTHETIC,SYNTHETIC,True,55,,2026-05-30T23:34:04.727255
TK,20260530_232929,adult,ctgan,3,C2,20,SYNTHETIC,SYNTHETIC,True,83,,2026-05-30T23:34:04.727281
TK,20260530_232929,adult,ctgan,4,C1,20,SYNTHETIC,SYNTHETIC,True,59,Husband and Female,2026-05-30T23:34:45.988575
TK,20260530_232929,adult,ctgan,4,C2,20,SYNTHETIC,SYNTHETIC,True,90,,2026-05-30T23:34:45.988606
TK,20260530_232929,adult,ctgan,5,C1,20,REAL,REAL,True,55,,2026-05-30T23:35:06.835297
TK,20260530_232929,adult,ctgan,5,C2,20,REAL,REAL,True,59,,2026-05-30T23:35:06.835323
TK,20260530_232929,adult,ctgan,6,C1,20,REAL,REAL,True,50,,2026-05-30T23:35:32.104148
TK,20260530_232929,adult,ctgan,6,C2,20,REAL,REAL,True,54,,2026-05-30T23:35:32.104179
TK,20260530_232929,adult,ctgan,7,C1,20,SYNTHETIC,REAL,False,50,,2026-05-30T23:35:50.628163
TK,20260530_232929,adult,ctgan,7,C2,20,SYNTHETIC,SYNTHETIC,True,64,,2026-05-30T23:35:50.628192
TK,20260530_232929,adult,ctgan,8,C1,20,REAL,REAL,True,50,,2026-05-30T23:36:20.375934
TK,20260530_232929,adult,ctgan,8,C2,20,REAL,REAL,True,50,,2026-05-30T23:36:20.375967
TK,20260530_232929,adult,ctgan,9,C1,20,REAL,REAL,True,50,,2026-05-30T23:37:03.766081
TK,20260530_232929,adult,ctgan,9,C2,20,REAL,REAL,True,57,,2026-05-30T23:37:03.766109
