annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
ManelS,20260530_201524,adult,gaussian_copula,0,C1,20,REAL,REAL,True,63,,2026-05-30T20:16:40.608686
ManelS,20260530_201524,adult,gaussian_copula,0,C2,20,REAL,REAL,True,50,,2026-05-30T20:16:40.608716
ManelS,20260530_201524,adult,gaussian_copula,1,C1,20,REAL,SYNTHETIC,False,53,,2026-05-30T20:23:09.903231
ManelS,20260530_201524,adult,gaussian_copula,1,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T20:23:09.903260
ManelS,20260530_201524,adult,gaussian_copula,2,C1,20,SYNTHETIC,SYNTHETIC,True,87,problem in education and education_num,2026-05-30T20:27:27.031450
ManelS,20260530_201524,adult,gaussian_copula,2,C2,20,SYNTHETIC,SYNTHETIC,True,46,,2026-05-30T20:27:27.031482
ManelS,20260530_201524,adult,gaussian_copula,3,C1,20,REAL,REAL,True,50,,2026-05-30T20:28:34.486045
ManelS,20260530_201524,adult,gaussian_copula,3,C2,20,REAL,REAL,True,50,,2026-05-30T20:28:34.486075
ManelS,20260530_201524,adult,gaussian_copula,4,C1,20,REAL,REAL,True,56,,2026-05-30T20:31:20.059728
ManelS,20260530_201524,adult,gaussian_copula,4,C2,20,REAL,REAL,True,50,,2026-05-30T20:31:20.059759
ManelS,20260530_201524,adult,gaussian_copula,5,C1,20,SYNTHETIC,SYNTHETIC,True,89,,2026-05-30T20:32:20.292905
ManelS,20260530_201524,adult,gaussian_copula,5,C2,20,SYNTHETIC,SYNTHETIC,True,100,,2026-05-30T20:32:20.292936
ManelS,20260530_201524,adult,gaussian_copula,6,C1,20,SYNTHETIC,SYNTHETIC,True,98,,2026-05-30T20:32:46.303725
ManelS,20260530_201524,adult,gaussian_copula,6,C2,20,SYNTHETIC,SYNTHETIC,True,100,,2026-05-30T20:32:46.303756
ManelS,20260530_201524,adult,gaussian_copula,7,C1,20,SYNTHETIC,SYNTHETIC,True,88,,2026-05-30T20:33:12.752609
ManelS,20260530_201524,adult,gaussian_copula,7,C2,20,SYNTHETIC,SYNTHETIC,True,92,,2026-05-30T20:33:12.752640
ManelS,20260530_201524,adult,gaussian_copula,8,C1,20,SYNTHETIC,SYNTHETIC,True,91,,2026-05-30T20:33:34.825962
ManelS,20260530_201524,adult,gaussian_copula,8,C2,20,SYNTHETIC,SYNTHETIC,True,95,,2026-05-30T20:33:34.825991
ManelS,20260530_201524,adult,gaussian_copula,9,C1,20,REAL,REAL,True,68,,2026-05-30T20:34:08.951114
ManelS,20260530_201524,adult,gaussian_copula,9,C2,20,REAL,REAL,True,90,,2026-05-30T20:34:08.951144
