annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
ManelS,20260530_192306,adult,ctgan,0,C1,20,REAL,SYNTHETIC,False,70,Education and occupation are not logical and also marital_status and relationship,2026-05-30T19:29:36.422702
ManelS,20260530_192306,adult,ctgan,0,C2,20,REAL,REAL,True,60,,2026-05-30T19:29:36.422745
ManelS,20260530_192306,adult,ctgan,1,C1,20,REAL,REAL,True,65,,2026-05-30T19:33:31.875718
ManelS,20260530_192306,adult,ctgan,1,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T19:33:31.875755
ManelS,20260530_192306,adult,ctgan,2,C1,20,REAL,REAL,True,65,,2026-05-30T19:37:18.356305
ManelS,20260530_192306,adult,ctgan,2,C2,20,REAL,REAL,True,67,,2026-05-30T19:37:18.356341
ManelS,20260530_192306,adult,ctgan,3,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T19:40:30.244471
ManelS,20260530_192306,adult,ctgan,3,C2,20,SYNTHETIC,REAL,False,63,,2026-05-30T19:40:30.244499
ManelS,20260530_192306,adult,ctgan,4,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T19:45:17.133396
ManelS,20260530_192306,adult,ctgan,4,C2,20,REAL,SYNTHETIC,False,50,,2026-05-30T19:45:17.133427
ManelS,20260530_192306,adult,ctgan,5,C1,20,SYNTHETIC,REAL,False,66,,2026-05-30T19:47:05.895519
ManelS,20260530_192306,adult,ctgan,5,C2,20,SYNTHETIC,REAL,False,74,,2026-05-30T19:47:05.895555
ManelS,20260530_192306,adult,ctgan,6,C1,20,SYNTHETIC,SYNTHETIC,True,55,,2026-05-30T19:49:41.793847
ManelS,20260530_192306,adult,ctgan,6,C2,20,SYNTHETIC,REAL,False,58,,2026-05-30T19:49:41.793877
ManelS,20260530_192306,adult,ctgan,7,C1,20,SYNTHETIC,SYNTHETIC,True,99,Wife and sex = Male??!,2026-05-30T19:51:54.467565
ManelS,20260530_192306,adult,ctgan,7,C2,20,SYNTHETIC,SYNTHETIC,True,100,,2026-05-30T19:51:54.467603
ManelS,20260530_192306,adult,ctgan,8,C1,20,SYNTHETIC,REAL,False,60,,2026-05-30T19:53:18.992312
ManelS,20260530_192306,adult,ctgan,8,C2,20,SYNTHETIC,REAL,False,58,,2026-05-30T19:53:18.992342
ManelS,20260530_192306,adult,ctgan,9,C1,20,SYNTHETIC,SYNTHETIC,True,55,,2026-05-30T19:55:32.018195
ManelS,20260530_192306,adult,ctgan,9,C2,20,SYNTHETIC,SYNTHETIC,True,54,,2026-05-30T19:55:32.018226
