trial_id,timestamp,provider,model,condition,true_label,predicted_label,correct,confidence,reasoning,red_flags,supporting_evidence,synthetic_method
0,2026-05-15T10:43:47.942683,groq,mixtral-8x7b-32768,C2,REAL,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
1,2026-05-15T10:43:50.687073,groq,mixtral-8x7b-32768,C1,REAL,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
2,2026-05-15T10:43:53.400627,groq,mixtral-8x7b-32768,C1,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
3,2026-05-15T10:43:56.121465,groq,mixtral-8x7b-32768,C1,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
4,2026-05-15T10:43:58.840827,groq,mixtral-8x7b-32768,C1,REAL,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
5,2026-05-15T10:44:01.620735,groq,mixtral-8x7b-32768,C2,REAL,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
6,2026-05-15T10:44:04.359246,groq,mixtral-8x7b-32768,C1,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
7,2026-05-15T10:44:07.079156,groq,mixtral-8x7b-32768,C1,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
8,2026-05-15T10:44:09.915516,groq,mixtral-8x7b-32768,C2,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
9,2026-05-15T10:44:12.651494,groq,mixtral-8x7b-32768,C1,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
10,2026-05-15T10:44:15.451828,groq,mixtral-8x7b-32768,C2,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
11,2026-05-15T10:44:18.303293,groq,mixtral-8x7b-32768,C2,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
12,2026-05-15T10:44:21.013335,groq,mixtral-8x7b-32768,C1,SYNTHETIC,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
13,2026-05-15T10:44:23.747058,groq,mixtral-8x7b-32768,C1,REAL,ERROR,False,-1,"Error code: 400 - {'error': {'message': 'The model `mixtral-8x7b-32768` has been decommissioned and is no longer supported. Please refer to https://console.groq.com/docs/deprecations for a recommendation on which model to use instead.', 'type': 'invalid_request_error', 'code': 'model_decommissioned'}}",[],[],gaussian_copula
