trial_id,timestamp,provider,model,condition,true_label,predicted_label,correct,confidence,reasoning,red_flags,supporting_evidence,synthetic_method
0,2026-05-14T12:22:06.702953,google,gemini-3-flash-preview,C1,REAL,REAL,True,100,"The dataset provided is the well-known 'Adult' (or 'Census Income') dataset from the UCI Machine Learning Repository. The row count of 30,162 is the exact number of records remaining in the original dataset after removing rows with missing values (often denoted by '?'). The values for 'fnlwgt' (final weight) are specific integers characteristic of census weighting, and the 'education_num' column maintains a perfect 1:1 mapping with the 'education' column (e.g., HS-grad is always 9, Masters is always 14), which is a deterministic relationship often lost or slightly noisy in synthetic data generation. Furthermore, the combinations of 'relationship' and 'sex' (e.g., 'Husband' being 'Male') are logically consistent with the original data source.",[],"['The row count (30,162) matches the standard cleaned version of the UCI Adult dataset.', ""Perfect deterministic mapping between 'education' and 'education_num'."", ""The 'fnlwgt' values are high-precision integers typical of the original census data."", ""Logical consistency between 'relationship' and 'sex' (e.g., Husband/Male)."", ""The distribution of 'capital_gain' and 'capital_loss' (mostly zeros) matches the real-world sparsity of these features in the original dataset.""]",ctgan
1,2026-05-14T12:22:26.001103,google,gemini-3-flash-preview,C1,REAL,REAL,True,100,"The dataset provided is the well-known 'Adult' (or 'Census Income') dataset from the UCI Machine Learning Repository. The row count of 30,162 is the exact number of records remaining in the original dataset after rows containing missing values (marked as '?') are removed. The columns, categorical levels (e.g., 'Prof-school', 'Married-civ-spouse', 'Adm-clerical'), and the specific mapping between 'education' and 'education_num' (e.g., HS-grad = 9, Masters = 14, Prof-school = 15) are identical to the real-world source. The 'fnlwgt' (final weight) values are also characteristic of the original census data.",[],"['The row count (30,162) matches the standard cleaned version of the UCI Adult dataset.', ""Perfect correlation between 'education' and 'education_num' columns."", ""Presence of the 'fnlwgt' column with realistic, non-rounded integer values typical of census weighting."", 'Categorical values and distributions (like the high frequency of 0 in capital_gain/loss) match the known statistical properties of the Adult dataset.', ""Logical consistency between 'relationship' (e.g., Husband) and 'marital_status' (Married-civ-spouse).""]",ctgan
2,2026-05-14T12:22:47.929367,google,gemini-3-flash-preview,C2,SYNTHETIC,SYNTHETIC,True,98,"The dataset is a synthetic reconstruction of the well-known UCI Adult (Census Income) dataset. Several statistical and semantic anomalies confirm it was generated by a model (likely a CTGAN or TVAE) rather than collected from real observations. The most significant red flag is the violation of the functional dependency between 'education' and 'education_num'. In the real Adult dataset, these columns have a strict 1-to-1 mapping (e.g., 'Bachelors' is always 13, 'HS-grad' is always 9). In this data, 'Bachelors' is mapped to both 12 and 9, and 'HS-grad' is mapped to both 9 and 11. Additionally, the 'capital_gain' and 'capital_loss' columns exhibit 'noisy' low-value integers (1, 2, 8, 14, 18, etc.) and a median of 11.0, whereas the real dataset is highly sparse with a median of 0 and values typically appearing in the thousands when non-zero. The distribution of 'native_country' and 'race' also shows significant shifts from the original census proportions.","[""Broken functional dependency: 'education' and 'education_num' do not maintain a 1-to-1 mapping (e.g., Bachelors = 12 and 9)."", ""Implausible 'capital_gain' values: Small integers like 1, 2, and 18 are present, which are not found in the original zero-inflated census data."", ""Statistical shift in 'capital_gain': A median of 11.0 is impossible for this specific dataset, which should have a median of 0."", ""Inconsistent 'education_num' assignments: '10th' grade is assigned 4, while in the real dataset it is 6.""]",[],ctgan
3,2026-05-14T12:23:03.754349,google,gemini-3-flash-preview,C2,SYNTHETIC,SYNTHETIC,True,98,"The dataset is a synthetic reconstruction of the well-known UCI Adult (Census Income) dataset. Several statistical and semantic anomalies confirm it was generated by a model (likely a CTGAN or TVAE) rather than collected from real observations. The most significant red flag is the violation of the functional dependency between 'education' and 'education_num'. In the real Adult dataset, these columns have a strict 1-to-1 mapping (e.g., 'Bachelors' is always 13, 'HS-grad' is always 9). In this data, 'Bachelors' is mapped to both 12 and 9, and 'HS-grad' is mapped to both 9 and 11. Additionally, the 'capital_gain' and 'capital_loss' columns exhibit 'noisy' low-value integers (1, 2, 8, 14, 18, etc.) and a median of 11.0, whereas the real dataset is highly sparse with a median of 0 and values typically appearing in the thousands when non-zero. The distribution of 'native_country' and 'race' also shows significant shifts from the original census proportions.","[""Broken functional dependency: 'education' and 'education_num' do not maintain a 1-to-1 mapping (e.g., Bachelors = 12 and 9)."", ""Implausible 'capital_gain' values: Small integers like 1, 2, and 18 are present, which are not found in the original zero-inflated census data."", ""Statistical shift in 'capital_gain': A median of 11.0 is impossible for this specific dataset, which should have a median of 0."", ""Inconsistent 'education_num' assignments: '10th' grade is assigned 4, while in the real dataset it is 6.""]",[],ctgan
4,2026-05-14T12:23:18.647194,google,gemini-3-flash-preview,C2,SYNTHETIC,SYNTHETIC,True,98,"The dataset is a synthetic reconstruction of the well-known UCI Adult (Census Income) dataset. Several statistical and semantic anomalies confirm it was generated by a model (likely a CTGAN or TVAE) rather than collected from real observations. The most significant red flag is the violation of the functional dependency between 'education' and 'education_num'. In the real Adult dataset, these columns have a strict 1-to-1 mapping (e.g., 'Bachelors' is always 13, 'HS-grad' is always 9). In this data, 'Bachelors' is mapped to both 12 and 9, and 'HS-grad' is mapped to both 9 and 11. Additionally, the 'capital_gain' and 'capital_loss' columns exhibit 'noisy' low-value integers (1, 2, 8, 14, 18, etc.) and a median of 11.0, whereas the real dataset is highly sparse with a median of 0 and values typically appearing in the thousands when non-zero. The distribution of 'native_country' and 'race' also shows significant shifts from the original census proportions.","[""Broken functional dependency: 'education' and 'education_num' do not maintain a 1-to-1 mapping (e.g., Bachelors = 12 and 9)."", ""Implausible 'capital_gain' values: Small integers like 1, 2, and 18 are present, which are not found in the original zero-inflated census data."", ""Statistical shift in 'capital_gain': A median of 11.0 is impossible for this specific dataset, which should have a median of 0."", ""Inconsistent 'education_num' assignments: '10th' grade is assigned 4, while in the real dataset it is 6.""]",[],ctgan
5,2026-05-14T12:23:37.753104,google,gemini-3-flash-preview,C1,SYNTHETIC,SYNTHETIC,True,100,"The dataset is a synthetic version of the well-known 'Adult Income' (Census Income) dataset. Several statistical and semantic anomalies confirm it was generated by a model (likely a GAN or Copula-based generator). First, the 'education_num' column, which should have a strict 1:1 mapping with the 'education' column in the real dataset, is inconsistent here (e.g., 'Bachelors' is mapped to 12 in row 11 and 9 in row 19). Second, the 'capital_gain' and 'capital_loss' columns contain small, noisy values like 1, 2, 8, 14, 18, and 27. In the real census data, these values are almost always 0 or large integers (e.g., 2174, 10555, 99999), and it is extremely rare to see both a gain and a loss in the same record, which occurs in rows 1 and 7 here. These patterns are classic artifacts of generative models attempting to approximate a distribution that is heavily skewed toward zero.","[""Inconsistent mapping between 'education' and 'education_num' (e.g., Bachelors appearing as 12 and 9)."", ""Implausible small values in 'capital_gain' and 'capital_loss' (1, 2, 8, 14, etc.)."", ""Simultaneous non-zero values for 'capital_gain' and 'capital_loss' in the same record."", ""Incorrect 'education_num' assignments (e.g., 10th grade assigned 4, Prof-school assigned 13).""]",[],ctgan
6,2026-05-14T12:24:18.191386,google,gemini-3-flash-preview,C1,SYNTHETIC,SYNTHETIC,True,98,"The dataset is a synthetic version of the well-known UCI 'Adult' (Census Income) dataset. While it maintains the schema and categorical labels of the original, it contains several statistical and logical artifacts typical of generative models like CTGAN or GaussianCopula. The most significant red flag is the breakdown of the deterministic relationship between 'education' and 'education_num'. In the real dataset, these two columns have a 1-to-1 mapping (e.g., Bachelors is always 13, HS-grad is always 9). Here, 'Bachelors' is mapped to both 12 and 9, and 'HS-grad' is mapped to 9 and 11. Additionally, the 'capital_gain' and 'capital_loss' columns in the real dataset are highly sparse with many zeros and specific large values; the presence of small, continuous-looking values like 1, 2, 8, 14, 18, and 21 is a classic sign of a model attempting to simulate a distribution without capturing the sparsity or the specific value-constraints of the original data.","[""Inconsistent mapping between 'education' and 'education_num' (e.g., Bachelors as 12 and 9)."", ""Implausible 'capital_gain' and 'capital_loss' values (very small integers like 1, 2, 8, 14, which do not appear in the real census data)."", ""Co-occurrence of 'capital_gain' and 'capital_loss' in the same record (Row 1 and Row 7), which is extremely rare/impossible in the source tax data."", ""Logical inconsistency in 'relationship' and 'marital_status' (Row 8: 'Husband' but 'Divorced')."", ""The distribution of 'capital_gain' appears to be treated as a continuous variable rather than a sparse/skewed one.""]","['The column names and categorical levels (workclass, occupation, etc.) perfectly match the UCI Adult dataset schema.', ""The total row count (30162) matches the standard 'adult.test' or cleaned 'adult.data' size.""]",ctgan
7,2026-05-14T12:24:44.693216,google,gemini-3-flash-preview,C1,SYNTHETIC,SYNTHETIC,True,98,"The dataset is a synthetic version of the UCI Adult Income dataset. Several statistical and semantic inconsistencies confirm this. First, the deterministic relationship between 'education' and 'education_num' is broken (e.g., 'Bachelors' is mapped to 12 in row 11 and 9 in row 19, whereas in the real dataset it is always 13). Second, the 'capital_gain' and 'capital_loss' columns contain small non-zero integers (1, 2, 18, 21, 37), which are artifacts of a generative model 'smearing' the distribution; in the real dataset, these columns are highly sparse and typically contain 0 or much larger specific values. Third, there are logical inconsistencies between 'marital_status' and 'relationship' (e.g., row 15 shows 'Married-AF-spouse' with a relationship of 'Unmarried').","[""Broken 1:1 mapping between 'education' and 'education_num' (e.g., Bachelors as 9 and 12, HS-grad as 11)."", ""Implausible small values in 'capital_gain' and 'capital_loss' (1, 2, 14, 18, 20, 21, 26, 27, 37, 56)."", ""Semantic inconsistency: 'Married-AF-spouse' listed as 'Unmarried' in relationship."", ""Semantic inconsistency: 'Assoc-voc' mapped to 'education_num' 15 (which is Prof-school) and 11.""]","['The schema and column names perfectly match the UCI Adult dataset.', 'The total row count (30162) matches the standard cleaned version of the Adult dataset.']",ctgan
8,2026-05-14T12:26:00.602433,google,gemini-3-flash-preview,C1,REAL,REAL,True,100,"The dataset provided is a direct excerpt from the well-known UCI Adult Income (Census Income) dataset. The row count of 30,162 is the exact number of records remaining in the original dataset after removing rows with missing values (marked as '?'). The specific values in the 'fnlwgt' column (e.g., 76714, 27444, 214816) are unique identifiers from the original census data. Furthermore, the mapping between 'education' and 'education_num' (e.g., Prof-school = 15, Some-college = 10, HS-grad = 9) is perfectly consistent with the original dataset's encoding scheme, which synthetic models often struggle to replicate perfectly without noise.",[],"['The row count (30,162) matches the standard cleaned version of the UCI Adult dataset.', ""The 'education' and 'education_num' columns maintain a perfect 1:1 deterministic relationship."", ""The 'fnlwgt' (final weight) values are specific integers that match actual census observations."", ""The distribution of 'capital_gain' and 'capital_loss' (predominantly zeros) is characteristic of the real-world census data."", ""The combinations of 'occupation', 'education', and 'workclass' are semantically and statistically consistent with 1994 US Census Bureau data.""]",ctgan
9,2026-05-14T12:26:14.354383,google,gemini-3-flash-preview,C1,REAL,REAL,True,100,"The dataset provided is the well-known 'Adult' (or 'Census Income') dataset from the UCI Machine Learning Repository. The row count of 30,162 is the exact number of records remaining in the original dataset after rows containing missing values (marked as '?') are removed. The columns, categorical levels (e.g., 'Prof-school', 'Married-civ-spouse', 'Adm-clerical'), and the specific mapping between 'education' and 'education_num' (e.g., HS-grad = 9, Masters = 14, Prof-school = 15) are identical to the real-world source. The 'fnlwgt' (final weight) values are also characteristic of the original census data.",[],"['The row count (30,162) matches the standard cleaned version of the UCI Adult dataset.', ""Perfect correlation between 'education' and 'education_num' columns."", ""Presence of the 'fnlwgt' column with realistic, non-rounded integer values typical of census weighting."", 'Categorical values and distributions (like the high frequency of 0 in capital_gain/loss) match the known statistical properties of the Adult dataset.', ""Logical consistency between 'relationship' (e.g., Husband) and 'marital_status' (Married-civ-spouse).""]",ctgan
