age,class_of_worker,education,marital_status,occupation,place_of_birth,relationship,hours_per_week,sex,race,income_above_50k
60,2,19,1,2074,94,0,40,1,1,0
21,1,15,5,7550,5,5,22,2,1,0
29,1,13,1,6233,122,1,28,2,1,0
58,4,21,5,3831,2,0,39,1,1,1
52,1,19,3,4723,52,0,31,2,1,0
40,1,13,1,6475,107,0,20,2,1,1
23,1,21,1,3234,43,0,42,1,1,0
30,1,22,1,1050,15,0,39,1,8,1
60,1,22,1,1980,2,0,25,1,1,1
67,1,15,3,8628,33,0,47,1,1,0
26,1,15,1,8118,133,6,8,1,1,0
58,1,21,1,1611,2,0,71,2,1,0
33,1,19,1,9641,20,15,33,1,1,0
61,1,23,5,2482,155,0,56,2,6,1
25,1,15,1,6445,57,6,57,2,2,0
19,1,13,3,2549,2,14,39,2,2,1
33,3,19,1,5876,5,11,40,1,1,0
23,3,20,1,2252,70,16,30,1,1,1
44,1,19,3,8302,7,9,1,2,9,0
53,5,13,1,6304,109,0,48,1,1,0
27,4,20,3,2784,121,0,29,2,1,0
46,7,20,5,6208,5,0,26,1,1,1
33,1,18,1,6642,2,0,6,1,1,0
42,1,19,5,6380,52,0,42,1,1,1
47,8,21,1,7289,29,0,46,2,1,0
29,1,20,1,4079,12,16,43,2,1,0
34,3,20,5,4884,10,14,30,2,1,0
51,6,18,1,1518,171,0,50,1,1,0
58,1,21,5,5807,47,0,49,2,1,0
40,3,10,1,4568,129,17,56,2,1,1
45,1,18,1,3904,11,0,29,1,1,0
30,1,20,1,2268,3,0,44,1,1,1
22,1,14,3,3218,94,0,30,2,1,0
32,2,18,1,1866,67,0,32,2,1,0
28,5,22,5,3002,203,0,60,1,6,1
32,1,20,1,4880,123,0,32,2,1,1
58,5,20,2,755,242,1,40,1,1,1
29,6,18,3,5264,22,0,41,1,1,1
25,1,22,5,848,52,16,28,2,1,1
81,3,23,1,1974,209,0,70,2,7,1
21,1,18,5,9133,12,0,33,2,1,0
40,1,10,1,1943,14,0,39,2,1,1
24,4,12,1,7388,417,0,4,2,6,0
26,1,15,5,3790,29,0,24,1,1,0
61,1,20,1,4771,69,0,36,2,6,1
61,3,20,1,263,9,0,47,2,2,1
60,1,21,1,2281,13,0,69,2,1,1
31,1,21,3,1717,36,0,35,1,1,1
25,3,22,5,4477,5,17,44,1,1,0
49,2,22,5,3991,2,0,24,2,1,0
32,2,19,1,6119,49,0,45,1,1,0
37,1,18,5,7736,10,3,28,1,1,1
46,1,21,1,1850,273,0,56,1,1,1
76,4,22,1,4863,57,0,44,1,1,1
36,7,21,1,804,93,0,20,1,1,0
53,1,17,1,1404,79,0,50,1,6,0
46,1,21,5,6088,15,0,10,2,6,0
19,1,19,5,451,22,0,21,1,1,0
52,1,14,1,4977,66,0,43,2,1,0
31,1,16,5,8333,9,0,17,1,9,0
21,1,17,5,3917,58,17,25,2,1,0
59,1,20,1,1527,2,0,32,1,1,1
40,6,21,1,7191,33,0,37,1,1,0
45,1,12,5,8381,404,0,54,1,1,1
26,3,23,1,534,186,0,56,1,1,1
66,4,16,1,2144,138,0,53,1,1,1
55,5,18,1,8402,105,0,54,1,6,0
37,1,23,3,1962,1,8,37,1,1,0
31,5,22,5,5104,187,0,51,1,6,1
44,1,8,1,9633,29,0,23,2,1,0
60,1,15,1,8209,174,10,50,1,1,0
22,6,18,5,3097,286,2,9,2,1,0
43,1,21,1,680,40,0,41,1,1,1
40,1,13,1,9226,80,1,31,2,1,0
27,7,21,1,1874,71,0,9,2,2,0
44,5,18,1,7187,37,0,27,1,1,0
31,1,22,3,2586,1,0,15,1,1,0
77,1,19,1,6602,100,0,24,1,1,1
51,7,17,1,8630,32,0,48,2,1,0
42,1,20,1,8849,9,0,13,2,2,0
63,3,20,1,3829,12,0,31,2,1,0
44,3,19,1,9018,158,15,68,1,1,1
36,1,20,3,223,7,1,41,2,1,0
41,2,21,1,3574,2,10,59,2,1,0
56,1,21,1,2926,70,0,40,1,1,1
62,1,17,1,6777,4,0,23,1,1,0
32,1,13,3,4472,27,0,44,1,1,0
43,1,13,5,6347,120,8,37,2,1,0
28,6,17,3,7114,17,0,45,1,1,0
74,1,22,1,617,64,0,68,1,1,1
56,1,20,1,6654,43,0,27,1,1,1
36,6,22,1,8172,138,2,47,2,1,1
31,3,17,5,8418,92,0,26,1,1,0
65,1,18,1,2548,11,0,25,2,1,0
38,1,20,5,8249,31,5,34,1,1,0
66,7,22,1,3893,124,1,56,2,1,1
41,3,20,1,7213,5,17,45,1,1,0
60,3,17,3,6002,73,1,35,1,1,0
20,1,15,1,2808,42,0,20,2,8,0
76,1,19,1,6601,260,0,30,1,1,0
46,1,12,1,8543,99,17,10,2,1,0
32,4,18,5,7782,131,10,20,2,6,0
38,2,20,1,2240,2,16,59,2,1,0
37,1,17,5,6400,15,0,46,1,1,1
49,1,21,1,1681,80,0,59,2,1,1
67,2,20,4,223,151,0,54,1,1,0
49,2,21,1,2520,12,0,54,1,1,0
68,1,17,1,4980,4,0,23,1,1,0
44,3,19,1,1867,136,0,48,1,8,0
74,7,24,1,4830,71,0,63,1,1,0
19,1,17,5,2346,51,0,41,1,9,0
48,1,2,5,8836,6,0,30,1,9,0
21,3,23,1,2852,80,0,46,2,1,0
74,1,15,1,3732,32,0,26,2,6,0
29,1,17,1,6274,80,1,40,2,1,1
57,1,18,1,4000,121,0,29,1,1,1
34,1,18,1,8263,101,0,35,2,8,0
45,6,20,5,1867,216,0,52,2,1,0
35,1,16,5,5206,33,0,39,2,1,0
37,6,20,1,6167,40,0,32,2,1,0
62,5,16,1,352,18,0,44,1,1,0
39,1,18,3,3787,116,17,24,1,1,1
56,1,21,1,3737,93,0,61,1,1,1
70,1,19,1,1171,6,0,36,1,1,0
19,1,23,1,2335,23,0,27,2,1,1
18,1,16,1,8573,137,17,40,1,1,1
43,1,23,1,506,362,0,33,2,1,1
75,1,11,1,9220,40,0,41,1,6,0
39,7,22,1,8507,7,0,44,1,1,1
20,1,14,5,4669,47,11,38,1,1,0
19,1,14,3,9154,17,12,43,2,1,1
44,1,21,1,3004,2,0,46,1,6,0
42,4,14,5,3416,5,0,32,2,1,0
79,1,20,1,590,56,0,71,1,1,0
23,1,22,1,4146,3,0,58,1,1,0
57,6,21,5,416,13,5,70,1,1,1
92,1,18,1,1164,333,0,41,1,2,0
23,2,14,1,5527,2,16,48,1,1,0
33,1,18,5,6789,160,0,18,1,9,0
21,1,18,1,2213,83,0,38,2,1,0
28,1,18,1,4511,248,0,58,1,1,0
36,2,13,1,5637,117,0,37,2,2,1
44,2,19,1,2057,8,0,56,2,1,0
29,7,17,5,3082,129,0,21,1,1,1
31,1,5,5,4072,10,0,53,2,1,0
35,5,20,1,7836,222,17,36,2,1,0
54,1,16,1,9495,58,12,62,1,1,0
49,1,19,1,3024,61,12,34,1,1,0
67,3,23,2,151,2,0,44,1,1,0
33,1,20,1,2817,159,0,33,2,2,0
50,1,17,5,3249,32,0,35,2,1,0
18,6,22,5,8451,46,17,20,2,1,0
40,1,20,1,1682,95,0,52,1,2,1
78,4,24,2,1522,106,0,44,2,1,0
75,1,20,1,2361,92,0,45,2,1,1
54,3,19,1,2419,72,5,18,1,1,0
51,5,22,1,889,7,0,35,2,2,0
74,1,17,2,495,331,0,41,2,1,0
45,1,22,5,2692,7,0,49,1,2,0
44,1,19,1,1396,42,1,27,2,5,0
27,1,16,1,7620,13,0,51,1,1,0
29,1,16,5,4630,104,1,10,2,1,1
44,1,19,3,3250,40,0,41,2,1,0
71,1,21,4,9611,114,0,52,2,7,1
37,3,21,3,2564,19,0,8,2,1,0
47,3,20,5,5562,10,0,43,1,1,1
35,1,18,5,1019,99,0,56,2,1,0
43,7,22,5,1364,104,0,33,1,1,1
19,7,19,5,6320,12,14,34,2,1,0
43,7,22,1,3193,22,0,42,1,1,0
38,1,19,5,5269,105,0,28,2,1,0
24,1,18,5,7308,40,4,44,1,1,1
52,1,19,1,7634,6,0,41,1,1,0
78,1,18,1,4171,5,0,43,1,2,1
42,4,16,3,2600,9,0,50,1,1,1
48,1,19,5,1264,59,0,38,2,1,0
71,1,20,1,4269,2,0,49,1,1,1
38,1,20,3,2439,174,5,36,2,1,1
70,4,19,3,1030,126,0,57,1,1,1
51,4,22,5,964,209,0,32,2,1,0
36,3,18,5,2480,37,0,45,1,1,0
75,7,21,1,161,75,0,44,2,1,1
39,1,22,3,4156,301,0,33,2,1,1
21,6,14,5,9067,71,0,42,2,1,0
29,1,22,1,3285,332,0,28,2,9,0
41,2,15,3,4121,104,16,59,1,1,0
25,1,16,5,4421,9,0,35,1,1,0
33,1,22,3,881,36,0,20,2,1,1
35,1,17,5,3027,259,0,4,1,2,0
72,1,20,1,301,34,0,35,1,1,0
62,1,14,5,2258,275,0,48,1,1,0
18,1,22,5,8632,1,13,60,2,1,0
49,1,22,1,3512,101,0,45,2,2,1
40,1,19,1,5855,77,0,43,2,6,0
62,1,18,1,9618,193,0,48,1,1,1
57,3,24,5,777,17,0,36,2,2,1
48,1,13,5,3206,197,0,25,1,1,0
42,1,21,1,7283,39,0,42,2,2,0
43,1,22,3,274,50,0,34,1,8,1
54,1,21,1,4393,57,0,33,1,1,0
40,1,15,1,4043,75,0,45,1,8,0
41,1,24,3,214,1,0,42,2,1,1
53,5,20,2,5940,186,0,39,1,1,1
73,4,23,1,1926,24,0,30,2,1,0
27,1,17,5,2260,45,4,61,1,1,1
33,1,17,5,4771,34,0,45,1,1,1
44,7,18,3,3119,5,0,25,1,1,0
56,1,11,4,2961,1,4,56,1,1,0
43,4,23,4,3098,15,0,48,2,1,0
63,1,11,1,7617,2,3,42,1,1,0
50,1,17,1,7613,8,0,28,2,1,1
28,1,18,1,4094,37,0,27,2,1,0
78,1,19,1,8432,111,0,45,1,8,1
38,3,18,1,9222,19,3,33,2,1,0
31,2,19,5,6112,122,1,41,2,2,1
39,1,14,1,5957,131,0,59,1,1,1
68,1,19,1,7088,52,0,39,2,1,0
32,6,22,5,7113,72,12,28,1,1,0
36,1,18,5,3437,2,0,30,1,1,0
20,1,22,5,5477,1,0,28,2,1,1
55,3,22,1,4780,8,0,34,2,9,0
19,1,17,5,1179,29,0,38,1,1,0
38,1,14,5,3573,266,15,22,2,6,0
22,1,19,3,5643,67,0,36,1,1,1
36,5,19,5,5138,73,0,44,2,6,1
