annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
TK,20260530_233901,adult,gaussian_copula,0,C1,20,SYNTHETIC,SYNTHETIC,True,56,,2026-05-30T23:40:26.870348
TK,20260530_233901,adult,gaussian_copula,0,C2,20,SYNTHETIC,SYNTHETIC,True,67,,2026-05-30T23:40:26.870379
TK,20260530_233901,adult,gaussian_copula,1,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:40:46.369856
TK,20260530_233901,adult,gaussian_copula,1,C2,20,SYNTHETIC,SYNTHETIC,True,60,,2026-05-30T23:40:46.369886
TK,20260530_233901,adult,gaussian_copula,2,C1,20,REAL,REAL,True,50,,2026-05-30T23:41:05.079011
TK,20260530_233901,adult,gaussian_copula,2,C2,20,REAL,REAL,True,57,,2026-05-30T23:41:05.079046
TK,20260530_233901,adult,gaussian_copula,3,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:41:45.202551
TK,20260530_233901,adult,gaussian_copula,3,C2,20,SYNTHETIC,SYNTHETIC,True,63,,2026-05-30T23:41:45.202580
TK,20260530_233901,adult,gaussian_copula,4,C1,20,SYNTHETIC,SYNTHETIC,True,56,,2026-05-30T23:42:01.044662
TK,20260530_233901,adult,gaussian_copula,4,C2,20,SYNTHETIC,SYNTHETIC,True,61,,2026-05-30T23:42:01.044692
TK,20260530_233901,adult,gaussian_copula,5,C1,20,SYNTHETIC,SYNTHETIC,True,69,,2026-05-30T23:42:24.501484
TK,20260530_233901,adult,gaussian_copula,5,C2,20,SYNTHETIC,SYNTHETIC,True,83,,2026-05-30T23:42:24.501510
TK,20260530_233901,adult,gaussian_copula,6,C1,20,SYNTHETIC,SYNTHETIC,True,50,,2026-05-30T23:42:43.986847
TK,20260530_233901,adult,gaussian_copula,6,C2,20,SYNTHETIC,SYNTHETIC,True,68,,2026-05-30T23:42:43.986878
TK,20260530_233901,adult,gaussian_copula,7,C1,20,REAL,REAL,True,50,,2026-05-30T23:45:00.665851
TK,20260530_233901,adult,gaussian_copula,7,C2,20,REAL,REAL,True,59,,2026-05-30T23:45:00.665883
TK,20260530_233901,adult,gaussian_copula,8,C1,20,SYNTHETIC,SYNTHETIC,True,54,,2026-05-30T23:45:52.220219
TK,20260530_233901,adult,gaussian_copula,8,C2,20,SYNTHETIC,SYNTHETIC,True,72,,2026-05-30T23:45:52.220245
TK,20260530_233901,adult,gaussian_copula,9,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T23:46:28.457416
TK,20260530_233901,adult,gaussian_copula,9,C2,20,REAL,REAL,True,59,,2026-05-30T23:46:28.457445
