trial_id,timestamp,provider,model,condition,true_label,predicted_label,correct,confidence,reasoning,red_flags,supporting_evidence,synthetic_method
0,2026-05-15T10:34:05.022291,groq,gemma-3-27b-it,C1,SYNTHETIC,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
1,2026-05-15T10:34:07.802126,groq,gemma-3-27b-it,C2,SYNTHETIC,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
2,2026-05-15T10:34:10.523276,groq,gemma-3-27b-it,C1,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
3,2026-05-15T10:34:13.373305,groq,gemma-3-27b-it,C1,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
4,2026-05-15T10:34:16.097451,groq,gemma-3-27b-it,C1,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
5,2026-05-15T10:34:18.817980,groq,gemma-3-27b-it,C1,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
6,2026-05-15T10:34:21.601591,groq,gemma-3-27b-it,C2,SYNTHETIC,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
7,2026-05-15T10:34:24.378880,groq,gemma-3-27b-it,C2,SYNTHETIC,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
8,2026-05-15T10:34:27.159384,groq,gemma-3-27b-it,C2,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
9,2026-05-15T10:34:29.945571,groq,gemma-3-27b-it,C2,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
10,2026-05-15T10:34:32.681280,groq,gemma-3-27b-it,C1,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
11,2026-05-15T10:34:35.405337,groq,gemma-3-27b-it,C1,SYNTHETIC,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
12,2026-05-15T10:34:38.170136,groq,gemma-3-27b-it,C2,REAL,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
13,2026-05-15T10:34:40.950675,groq,gemma-3-27b-it,C2,SYNTHETIC,ERROR,False,-1,"Error code: 404 - {'error': {'message': 'The model `gemma-3-27b-it` does not exist or you do not have access to it.', 'type': 'invalid_request_error', 'code': 'model_not_found'}}",[],[],tvae
