annotator_id,session_id,dataset,method,pair_id,condition,n_rows_shown,true_label,predicted_label,correct,confidence,notes,timestamp
TK,20260530_212413,adult,tvae,0,C1,20,SYNTHETIC,REAL,False,50,,2026-05-30T21:36:41.888909
TK,20260530_212413,adult,tvae,0,C2,20,SYNTHETIC,REAL,False,50,,2026-05-30T21:36:41.888936
TK,20260530_212413,adult,tvae,1,C1,20,REAL,SYNTHETIC,False,50,,2026-05-30T21:37:16.166821
TK,20260530_212413,adult,tvae,1,C2,20,REAL,REAL,True,50,,2026-05-30T21:37:16.166852
TK,20260530_212413,adult,tvae,2,C1,20,REAL,REAL,True,50,,2026-05-30T21:37:55.291658
TK,20260530_212413,adult,tvae,2,C2,20,REAL,REAL,True,50,,2026-05-30T21:37:55.291684
TK,20260530_212413,adult,tvae,3,C1,20,REAL,REAL,True,50,,2026-05-30T23:22:48.179325
TK,20260530_212413,adult,tvae,3,C2,20,REAL,SYNTHETIC,False,62,,2026-05-30T23:22:48.179356
TK,20260530_212413,adult,tvae,4,C1,20,REAL,REAL,True,65,,2026-05-30T23:23:24.579164
TK,20260530_212413,adult,tvae,4,C2,20,REAL,REAL,True,68,,2026-05-30T23:23:24.579195
TK,20260530_212413,adult,tvae,5,C1,20,REAL,REAL,True,68,,2026-05-30T23:23:57.870310
TK,20260530_212413,adult,tvae,5,C2,20,REAL,REAL,True,66,,2026-05-30T23:23:57.870342
TK,20260530_212413,adult,tvae,6,C1,20,SYNTHETIC,SYNTHETIC,True,81,Husband and female!!!,2026-05-30T23:24:41.311242
TK,20260530_212413,adult,tvae,6,C2,20,SYNTHETIC,SYNTHETIC,True,98,,2026-05-30T23:24:41.311270
TK,20260530_212413,adult,tvae,7,C1,20,REAL,REAL,True,58,,2026-05-30T23:25:17.827948
TK,20260530_212413,adult,tvae,7,C2,20,REAL,REAL,True,60,,2026-05-30T23:25:17.827979
TK,20260530_212413,adult,tvae,8,C1,20,REAL,REAL,True,50,,2026-05-30T23:26:07.154076
TK,20260530_212413,adult,tvae,8,C2,20,REAL,REAL,True,50,,2026-05-30T23:26:07.154101
TK,20260530_212413,adult,tvae,9,C1,20,REAL,REAL,True,55,,2026-05-30T23:26:41.992969
TK,20260530_212413,adult,tvae,9,C2,20,REAL,REAL,True,56,,2026-05-30T23:26:41.993000
