age,class_of_worker,education,marital_status,occupation,place_of_birth,relationship,hours_per_week,sex,race,income_above_50k
31,2,21,5,278,206,0,45,1,6,0
28,2,22,1,2415,26,1,40,2,1,1
62,1,16,1,381,22,0,50,1,1,1
56,5,22,1,299,25,0,59,1,9,1
23,3,18,5,6055,289,16,40,1,8,0
19,1,20,5,4582,33,17,10,1,1,0
50,1,16,3,4842,35,0,40,2,1,0
32,2,21,1,2299,48,1,50,2,1,1
70,1,16,1,3652,19,0,40,2,1,1
55,2,21,1,9335,5,0,47,1,2,1
36,1,16,5,8433,468,11,40,1,9,0
38,6,20,1,4813,17,0,10,2,1,0
41,1,18,1,4781,41,0,40,2,1,1
43,7,24,1,548,1,1,40,2,5,0
38,1,21,1,497,212,0,40,2,6,1
23,3,20,5,4726,29,2,8,2,1,0
70,1,16,2,4763,35,0,50,2,1,1
48,2,22,5,2169,20,0,40,1,1,0
67,1,16,5,5648,367,0,40,2,2,1
45,1,18,1,577,18,0,47,1,1,1
67,1,16,3,5036,22,0,6,2,2,0
56,3,22,5,5808,47,0,45,1,6,0
37,2,22,1,2471,228,1,7,2,1,0
39,7,21,1,965,232,1,40,2,6,0
66,4,22,1,2253,36,1,9,2,1,0
36,1,16,5,601,22,13,40,2,1,1
37,1,20,4,5587,47,0,53,1,2,1
35,3,22,1,4935,216,1,40,1,6,0
45,1,16,1,4101,21,13,40,1,9,0
68,1,16,2,4863,25,0,43,2,2,0
70,1,18,1,4746,33,0,40,2,9,0
42,6,16,5,4822,41,16,31,1,7,0
56,3,22,5,2230,17,0,40,2,6,1
17,1,19,5,9830,10,13,40,2,6,0
22,1,16,5,6265,18,17,53,1,1,0
60,1,16,3,5465,9,0,40,1,1,0
66,1,16,3,5978,21,0,40,2,2,1
59,1,16,3,4333,9,0,40,2,8,0
55,3,21,1,409,43,1,45,2,1,0
42,2,20,1,6045,38,0,40,1,1,0
32,1,14,4,4133,50,6,40,1,2,0
62,1,16,3,4797,40,0,40,1,1,1
18,1,16,5,5701,13,2,9,1,1,0
22,1,16,5,2332,208,2,20,2,3,0
30,4,18,4,4311,5,0,12,1,2,0
52,7,20,1,166,47,1,60,2,1,1
56,2,23,1,4699,16,0,50,2,2,0
47,1,18,1,339,20,1,60,2,1,0
30,1,22,1,8991,9,0,40,2,3,1
33,5,18,5,4519,12,13,50,1,8,0
19,1,16,5,4200,23,12,11,1,1,0
33,1,21,1,720,87,1,40,2,1,1
43,1,16,1,4815,11,0,31,2,1,0
51,2,22,1,2277,12,0,40,1,1,0
