age,class_of_worker,education,marital_status,occupation,place_of_birth,relationship,hours_per_week,sex,race,income_above_50k
28,1,18,5,4700,37,13,50,2,1,0
56,5,18,3,4230,36,0,40,1,2,0
23,1,21,5,1430,36,0,40,1,1,1
33,1,21,1,4710,17,0,50,2,1,1
38,1,24,1,3250,34,0,40,2,1,1
56,6,23,4,5100,6,0,45,1,1,0
83,1,17,1,9610,26,1,16,1,9,0
22,1,22,5,9620,12,15,50,2,1,0
46,1,17,3,6442,6,0,40,1,1,0
56,2,16,5,4251,26,0,40,1,1,0
20,1,19,5,3930,25,17,16,2,2,0
49,6,16,1,2752,37,1,40,1,1,0
38,2,23,5,2040,25,17,50,1,1,0
53,6,16,1,4220,18,0,40,2,1,0
40,1,9,1,4220,314,0,40,1,1,0
54,1,21,3,1021,13,0,40,1,1,1
57,4,24,1,1010,247,0,99,1,6,1
59,1,16,1,8140,364,0,40,1,8,0
30,1,16,5,7700,6,0,48,1,1,1
61,2,21,1,2320,36,0,16,2,1,0
38,1,22,1,440,110,1,40,1,1,1
69,6,21,1,4251,6,0,30,1,1,0
53,5,21,3,440,18,0,40,2,1,0
62,2,21,3,3255,15,0,24,2,1,1
38,2,20,1,3160,36,1,37,2,1,0
22,1,19,5,4760,48,2,28,1,2,0
67,3,21,3,630,53,0,40,2,1,1
71,1,15,1,9130,17,0,40,1,1,0
60,1,21,1,2805,36,0,25,1,1,1
19,1,18,5,5240,25,17,10,2,1,0
26,6,19,5,1050,47,0,5,1,1,0
52,1,16,1,9620,23,0,41,1,1,1
24,1,16,5,4720,24,3,30,1,1,0
35,1,14,1,4020,48,1,40,1,1,0
63,1,21,1,710,45,0,36,2,1,1
26,1,18,1,8365,13,0,36,2,2,0
63,6,19,5,4920,21,0,20,2,8,0
43,1,19,1,1555,4,0,55,1,1,1
33,1,18,5,310,6,13,55,2,1,0
62,1,23,1,4760,138,0,44,1,1,0
70,1,21,1,140,13,0,60,1,1,1
27,6,16,1,4600,362,0,30,2,1,0
24,1,16,5,4600,29,13,40,2,1,0
30,1,21,1,3645,42,1,8,2,1,0
19,1,19,5,4110,6,17,40,1,1,0
18,1,14,5,9620,55,15,25,1,1,0
72,7,11,1,3602,333,1,40,1,2,0
37,1,21,5,4040,33,12,40,1,1,0
30,1,24,5,2830,36,0,40,2,1,0
26,1,20,5,7340,36,0,40,1,1,0
74,1,16,3,9130,17,13,25,1,1,0
73,1,1,1,4220,329,0,40,1,9,0
31,3,19,5,3802,27,0,40,1,1,1
69,1,21,1,440,42,0,60,1,1,1
71,1,21,1,9130,54,0,25,1,1,1
57,1,13,1,7700,48,0,40,1,1,1
18,1,16,5,3655,17,12,40,1,1,0
37,1,21,1,4600,39,1,15,2,1,0
