trial_id,timestamp,provider,model,condition,true_label,predicted_label,correct,confidence,reasoning,red_flags,supporting_evidence,synthetic_method
0,2026-05-27T12:45:09.956430,groq,llama-3.1-8b-instant,C2,SYNTHETIC,SYNTHETIC,True,80,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are high and exhibit a pattern, which is often seen in synthetic datasets. The distribution of the 'occupation' column is also highly skewed, which is unlikely in a real-world dataset. Furthermore, the 'place_of_birth' column has a high mean and standard deviation, which is unusual for a categorical variable.","['High correlations between columns', 'Non-normal distributions in most columns', ""Highly skewed distribution of 'occupation' column"", ""Unusual distribution of 'place_of_birth' column""]","['Pattern in correlations between columns', ""High mean and standard deviation of 'place_of_birth' column""]",ctgan
1,2026-05-27T12:45:11.517413,groq,llama-3.1-8b-instant,C2,SYNTHETIC,SYNTHETIC,True,80,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are high and exhibit a pattern, which is often seen in synthetic datasets. The distribution of the 'occupation' column is also highly skewed, which is unlikely in a real-world dataset. Furthermore, the 'place_of_birth' column has a high mean and standard deviation, which is unusual for a categorical variable.","['High correlations between columns', 'Non-normal distributions in most columns', ""Highly skewed distribution of 'occupation' column"", ""Unusual distribution of 'place_of_birth' column""]","['Pattern in correlations between columns', ""High mean and standard deviation of 'place_of_birth' column""]",ctgan
2,2026-05-27T12:45:34.381510,groq,llama-3.1-8b-instant,C2,REAL,SYNTHETIC,False,85,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are often high and statistically significant, which may indicate that the data was generated to produce specific relationships. The distribution of values in some columns, such as 'place_of_birth' and 'occupation', appears to be artificially generated. Furthermore, the dataset lacks any obvious outliers or anomalies, which is unusual for real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', ""Artificially generated distributions in 'place_of_birth' and 'occupation'"", 'Lack of outliers or anomalies']",[],ctgan
3,2026-05-27T12:46:04.544838,groq,llama-3.1-8b-instant,C2,REAL,SYNTHETIC,False,85,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are often high and statistically significant, which may indicate that the data was generated to produce specific relationships. The distribution of values in some columns, such as 'place_of_birth' and 'occupation', appears to be artificially generated. Furthermore, the dataset lacks any obvious outliers or anomalies, which is unusual for real-world data.","['High correlations between columns', 'Non-normal distributions in most columns', ""Artificially generated distributions in 'place_of_birth' and 'occupation'"", 'Lack of outliers or anomalies']",[],ctgan
4,2026-05-27T12:46:19.891591,groq,llama-3.1-8b-instant,C1,SYNTHETIC,SYNTHETIC,True,80,"The dataset appears to be synthetic due to several statistical artifacts and implausible value combinations. For instance, the distribution of the 'age' column seems to be artificially generated, with a large number of individuals in their 40s and 50s. Additionally, the 'income_above_50k' column has a binary distribution, which is unlikely in a real-world dataset. Furthermore, the 'race' column has a limited number of categories, which is not representative of real-world demographics.","['Artificially generated age distribution', ""Binary distribution of 'income_above_50k' column"", ""Limited number of categories in 'race' column"", ""Unusual distribution of 'marital_status' column""]","[""High correlation between 'education' and 'income_above_50k' columns"", ""Low correlation between 'hours_per_week' and 'income_above_50k' columns""]",ctgan
5,2026-05-27T12:46:35.588232,groq,llama-3.1-8b-instant,C1,REAL,SYNTHETIC,False,80,"The dataset appears to be synthetic due to the presence of suspicious patterns and anomalies. Notably, the distribution of the 'income_above_50k' column is highly imbalanced, with a large proportion of zeros and a small proportion of ones. This is unusual in real-world datasets, where income distributions are typically more skewed towards lower values. Additionally, the 'education' and 'occupation' columns exhibit a high degree of correlation, which is not typically observed in real-world data. Furthermore, the 'place_of_birth' column contains a large number of unique values, which is unlikely in a real-world dataset of this size.","[""Highly imbalanced 'income_above_50k' distribution"", ""High correlation between 'education' and 'occupation' columns"", ""Large number of unique values in 'place_of_birth' column""]","[""Unusual distribution of 'marital_status' and 'relationship' columns"", ""Presence of outliers in 'hours_per_week' column""]",ctgan
6,2026-05-27T12:46:51.316972,groq,llama-3.1-8b-instant,C1,REAL,SYNTHETIC,False,80,"The dataset appears to be synthetic due to the presence of suspicious patterns and anomalies. Notably, the distribution of the 'income_above_50k' column is highly imbalanced, with a large proportion of zeros and a small proportion of ones. This is unusual in real-world datasets, where income distributions are typically more skewed towards lower values. Additionally, the 'education' and 'occupation' columns exhibit a high degree of correlation, which is not typically observed in real-world data. Furthermore, the 'place_of_birth' column contains a large number of unique values, which is unlikely in a real-world dataset of this size.","[""Highly imbalanced 'income_above_50k' distribution"", ""High correlation between 'education' and 'occupation' columns"", ""Large number of unique values in 'place_of_birth' column""]","[""Unusual distribution of 'marital_status' and 'relationship' columns"", ""Presence of outliers in 'hours_per_week' column""]",ctgan
7,2026-05-27T12:47:21.183768,groq,llama-3.1-8b-instant,C2,SYNTHETIC,SYNTHETIC,True,80,"The dataset exhibits several statistical artifacts and implausible value combinations that suggest it is synthetic. The Shapiro-Wilk test indicates that most columns are non-normal, which is unusual for real-world datasets. Additionally, the correlations between columns are high and exhibit a pattern, which is often seen in synthetic datasets. The distribution of the 'occupation' column is also highly skewed, which is unlikely in a real-world dataset. Furthermore, the 'place_of_birth' column has a high mean and standard deviation, which is unusual for a categorical variable.","['High correlations between columns', 'Non-normal distributions in most columns', ""Highly skewed distribution of 'occupation' column"", ""Unusual distribution of 'place_of_birth' column""]","['Pattern in correlations between columns', ""High mean and standard deviation of 'place_of_birth' column""]",ctgan
8,2026-05-27T12:47:36.108161,groq,llama-3.1-8b-instant,C1,REAL,SYNTHETIC,False,80,"The dataset appears to be synthetic due to the presence of suspicious patterns and anomalies. Notably, the distribution of the 'income_above_50k' column is highly imbalanced, with a large proportion of zeros and a small proportion of ones. This is unusual in real-world datasets, where income distributions are typically more skewed towards lower values. Additionally, the 'education' and 'occupation' columns exhibit a high degree of correlation, which is not typically observed in real-world data. Furthermore, the 'place_of_birth' column contains a large number of unique values, which is unlikely in a real-world dataset of this size.","[""Highly imbalanced 'income_above_50k' distribution"", ""High correlation between 'education' and 'occupation' columns"", ""Large number of unique values in 'place_of_birth' column""]","[""Unusual distribution of 'marital_status' and 'relationship' columns"", ""Presence of outliers in 'hours_per_week' column""]",ctgan
9,2026-05-27T12:47:51.937690,groq,llama-3.1-8b-instant,C1,SYNTHETIC,SYNTHETIC,True,80,"The dataset appears to be synthetic due to several statistical artifacts and implausible value combinations. For instance, the distribution of the 'age' column seems to be artificially generated, with a large number of individuals in their 40s and 50s. Additionally, the 'income_above_50k' column has a binary distribution, which is unlikely in a real-world dataset. Furthermore, the 'race' column has a limited number of categories, which is not representative of real-world demographics.","['Artificially generated age distribution', ""Binary distribution of 'income_above_50k' column"", ""Limited number of categories in 'race' column"", ""Unusual distribution of 'marital_status' column""]","[""High correlation between 'education' and 'income_above_50k' columns"", ""Low correlation between 'hours_per_week' and 'income_above_50k' columns""]",ctgan
